,A,Length
0,aam,3.0
1,aaronic,7.0
2,aaronical,9.0
3,ab,2.0
4,abaca,5.0
5,abacinate,9.0
6,abacination,11.0
7,abaciscus,9.0
8,abacist,7.0
9,aback,5.0
10,abactinal,9.0
11,abaction,8.0
12,abactor,7.0
13,abaculi,7.0
14,abaculus,8.0
15,abacuses,8.0
16,abaci,5.0
17,abacus,6.0
18,abada,5.0
19,abaddon,7.0
20,abaft,5.0
21,abaisance,9.0
22,abaiser,7.0
23,abaist,6.0
24,abalienate,10.0
25,abalienation,12.0
26,abalone,7.0
27,aband,5.0
28,abandoned,9.0
29,abandoning,10.0
30,abandon,7.0
31,abandonedly,11.0
32,abandonee,9.0
33,abandoner,9.0
34,abandonment,11.0
35,abandum,7.0
36,abanet,6.0
37,abanga,6.0
38,abannation,10.0
39,abannition,10.0
40,abarticulation,14.0
41,abased,6.0
42,abasing,7.0
43,abase,5.0
44,abasedly,8.0
45,abasement,9.0
46,abaser,6.0
47,abashed,7.0
48,abashing,8.0
49,abash,5.0
50,abashedly,9.0
51,abashment,9.0
52,abassi,6.0
53,abassis,7.0
54,abatable,8.0
55,abated,6.0
56,abating,7.0
57,abate,5.0
58,abatement,9.0
59,abater,6.0
60,abatis,6.0
61,abattis,7.0
62,abatised,8.0
63,abator,6.0
64,abattoirs,9.0
65,abattoir,8.0
66,abature,7.0
67,abatvoix,8.0
68,abawed,6.0
69,abaxial,7.0
70,abaxile,7.0
71,abay,4.0
72,abb,3.0
73,abba,4.0
74,abbacies,8.0
75,abbacy,6.0
76,abbatial,8.0
77,abbatical,9.0
78,abbe,4.0
79,abbess,6.0
80,abbeys,6.0
81,abbey,5.0
82,abbot,5.0
83,abbotship,9.0
84,abbreviated,11.0
85,abbreviating,12.0
86,abbreviate,10.0
87,abbreviation,12.0
88,abbreviator,11.0
89,abbreviatory,12.0
90,abbreviature,12.0
91,abdal,5.0
92,abderian,8.0
93,abderite,8.0
94,abdest,6.0
95,abdicable,9.0
96,abdicant,8.0
97,abdicated,9.0
98,abdicating,10.0
99,abdicate,8.0
100,abdication,10.0
101,abdicative,10.0
102,abdicator,9.0
103,abditive,8.0
104,abditory,8.0
105,abdomen,7.0
106,abdominal,9.0
107,abdominals,10.0
108,abdominales,11.0
109,abdominalia,11.0
110,abdominoscopy,13.0
111,abdominothoracic,16.0
112,abdominous,10.0
113,abduced,7.0
114,abducing,8.0
115,abduce,6.0
116,abducted,8.0
117,abducting,9.0
118,abduct,6.0
119,abduction,9.0
120,abductor,8.0
121,abeam,5.0
122,abear,5.0
123,abearance,9.0
124,abearing,8.0
125,abecedarian,11.0
126,abecedary,9.0
127,abed,4.0
128,abegge,6.0
129,abele,5.0
130,abelian,7.0
131,abelite,7.0
132,abelonian,9.0
133,abelmosk,8.0
134,aberr,5.0
135,aberrance,9.0
136,aberrancy,9.0
137,aberrant,8.0
138,aberrate,8.0
139,aberration,10.0
140,aberrational,12.0
141,aberuncate,10.0
142,aberuncator,11.0
143,abetted,7.0
144,abetting,8.0
145,abet,4.0
146,abetment,8.0
147,abettal,7.0
148,abetter,7.0
149,abettor,7.0
150,abevacuation,12.0
151,abeyance,8.0
152,abeyancy,8.0
153,abeyant,7.0
154,abhal,5.0
155,abhominable,11.0
156,abhominal,9.0
157,abhorred,8.0
158,abhorring,9.0
159,abhor,5.0
160,abhorrence,10.0
161,abhorrency,10.0
162,abhorrent,9.0
163,abhorrently,11.0
164,abhorrer,8.0
165,abhorrible,10.0
166,abib,4.0
167,abidance,8.0
168,abode,5.0
169,abid,4.0
170,abiding,7.0
171,abide,5.0
172,abider,6.0
173,abidingly,9.0
174,abies,5.0
175,abietene,8.0
176,abietic,7.0
177,abietin,7.0
178,abietine,8.0
179,abietinic,9.0
180,abietite,8.0
181,abigail,7.0
182,abiliment,9.0
183,abilities,9.0
184,ability,7.0
185,abime,5.0
186,abyme,5.0
187,abiogenesis,11.0
188,abiogenetic,11.0
189,abiogenist,10.0
190,abiogenous,10.0
191,abiogeny,8.0
192,abiological,11.0
193,abirritant,10.0
194,abirritate,10.0
195,abirritation,12.0
196,abirritative,12.0
