,B,Length
0,ba,2
1,baa,3
2,baas,4
3,baaing,6
4,baalim,6
5,baal,4
6,baalism,7
7,baalist,7
8,baalite,7
9,baba,4
10,babbitt,7
11,babbled,7
12,babbling,8
13,babble,6
14,babblement,10
15,babbler,7
16,babblery,8
17,babe,4
18,babehood,8
19,babel,5
20,babery,6
21,babian,6
22,babion,6
23,babillard,9
24,babingtonite,12
25,babiroussa,10
26,babirussa,9
27,babish,6
28,babism,6
29,babist,6
30,bablah,6
31,baboo,5
32,babu,4
33,baboon,6
34,baboonery,9
35,baboonish,9
36,babies,6
37,baby,4
38,babied,6
39,babying,7
40,babyhood,8
41,babyhouse,9
42,babyish,7
43,babyism,7
44,babylonian,10
45,babylonic,9
46,babylonical,11
47,babylonish,10
48,babyroussa,10
49,babyrussa,9
50,babyship,8
51,bac,3
52,baccalaureate,13
53,baccara,7
54,baccarat,8
55,baccare,7
56,backare,7
57,baccate,7
58,baccated,8
59,bacchanal,9
60,bacchanalia,11
61,bacchanalian,12
62,bacchanalianism,15
63,bacchants,9
64,bacchantes,10
65,bacchant,8
66,bacchante,9
67,bacchantic,10
68,bacchic,7
69,bacchical,9
70,bacchii,7
71,bacchius,8
72,bacchus,7
73,bacciferous,11
74,bacciform,9
75,baccivorous,11
76,bace,4
77,bacharach,9
78,backarack,9
79,bachelor,8
80,bachelordom,11
81,bachelorhood,12
82,bachelorism,11
83,bachelorship,12
84,bachelry,8
85,bacillar,8
86,bacillariae,11
87,bacillary,9
88,bacilliform,11
89,bacilli,7
90,bacillus,8
91,back,4
92,backed,6
93,backing,7
94,backband,8
95,backbite,8
96,backbiter,9
97,backbiting,10
98,backboard,9
99,backbond,8
100,backbone,8
101,backboned,9
102,backcast,8
103,backdoor,8
104,backdown,8
105,backer,6
106,backfall,8
107,backfriend,10
108,backgammon,10
109,background,10
110,backhand,8
111,backhanded,10
112,backhandedness,14
113,backhander,10
114,backhouse,9
115,backjoint,9
116,backlash,8
117,backless,8
118,backlog,7
119,backpiece,9
120,backplate,9
121,backrack,8
122,backrag,7
123,backs,5
124,backsaw,7
125,backset,7
126,backsettler,11
127,backsheesh,10
128,backshish,9
129,backside,8
130,backsight,9
131,backslid,8
132,backslidden,11
133,backsliding,11
134,backslide,9
135,backslider,10
136,backstaff,9
137,backstairs,10
138,backstair,9
139,backstay,8
140,backster,8
141,backstitch,10
142,backstress,10
143,backsword,9
144,backward,8
145,backwards,9
146,backwardation,13
147,backwardly,10
148,backwardness,12
149,backwash,8
150,backwater,9
151,backwoods,9
152,backwoodsmen,12
153,backwoodsman,12
154,backworm,8
155,bacon,5
156,baconian,8
157,bacteria,8
158,bacterial,9
159,bactericidal,12
160,bactericide,11
161,bacteriological,15
162,bacteriologist,14
163,bacteriology,12
164,bacterioscopic,14
165,bacterioscopist,15
166,bacterioscopy,13
167,bacterium,9
168,bacteroid,9
169,bacteroidal,11
170,bactrian,8
171,bacule,6
172,baculine,8
173,baculite,8
174,baculometry,11
175,bad,3
176,badder,6
177,badderlocks,11
178,baddish,7
179,bade,4
180,badge,5
181,badgeless,9
182,badger,6
183,badgered,8
184,badgering,9
185,badgerer,8
186,badiaga,7
187,badian,6
188,badigeon,8
189,badinage,8
190,badly,5
191,badminton,9
192,badness,7
193,baenomere,9
194,baenopod,8
195,baenosome,9
196,baff,4
197,baffled,7
198,baffling,8
199,baffle,6
200,bafflement,10
201,baffler,7
202,baft,4
203,bafta,5
204,bag,3
205,bagged,6
206,bagging,7
207,bagasse,7
208,bagatelle,9
209,baggage,7
210,baggager,8
211,baggala,7
212,baggily,7
213,baggy,5
214,bagmen,6
215,bagman,6
216,bagnio,6
217,bagpipe,7
218,bagpiper,8
219,bagreef,7
220,bague,5
221,baguet,6
222,baguette,8
223,bagwig,6
224,bagworm,7
225,bah,3
226,bahar,5
227,baigne,6
228,bail,4
229,bailed,6
230,bailing,7
231,bailable,8
232,bailee,6
233,bailer,6
234,bailey,6
235,bailie,6
236,bailiff,7
237,bailiffwick,11
238,bailiwick,9
239,baillie,7
240,bailment,8
241,bailor,6
242,bailpiece,9
243,bain,4
244,bairam,6
245,bairn,5
246,baisemains,10
247,bait,4
248,baited,6
249,baiting,7
250,baiter,6
251,baize,5
252,bajocco,7
253,baked,5
254,baking,6
255,bake,4
256,bakehouse,9
257,bakemeat,8
258,baken,5
259,baker,5
260,bakery,6
261,bakingly,8
262,bakistre,8
263,baksheesh,9
264,bakshish,8
265,balaam,6
266,balachong,9
267,balaenoidea,11
268,balance,7
269,balanced,8
270,balancing,9
271,balanceable,11
272,balancement,11
273,balancer,8
274,balancereef,11
275,balaniferous,12
276,balanite,8
277,balanoglossus,13
278,balanoid,8
279,balaustine,10
280,balbutiate,10
281,balbucinate,11
282,balbuties,9
283,balcon,6
284,balconied,9
285,balconies,9
286,balcony,7
287,bald,4
288,baldachin,9
289,balder,6
290,balderdash,10
291,baldhead,8
292,baldheaded,10
293,baldly,6
294,baldness,8
295,baldpate,8
296,baldpated,9
297,baldrib,7
298,baldric,7
299,baldwin,7
300,bale,4
301,baled,5
302,baling,6
303,balearic,8
304,baleen,6
305,balefire,8
306,baleful,7
307,balefully,9
308,balefulness,11
309,balisaur,8
310,balister,8
311,balistoid,9
312,balistraria,11
313,balize,6
314,balk,4
315,balked,6
316,balking,7
317,balker,6
318,balkingly,9
319,balkish,7
320,balky,5
321,ball,4
322,balled,6
323,balling,7
324,ballad,6
325,ballade,7
326,ballader,8
327,balladry,8
328,ballahoo,8
329,ballahou,8
330,ballarag,8
331,ballast,7
332,ballasted,9
333,ballasting,10
334,ballastage,10
335,ballatry,8
336,ballet,6
337,ballist/,8
338,ballista,8
339,ballister,9
340,ballistic,9
341,ballistics,10
342,ballium,7
343,balloon,7
344,ballooned,9
345,ballooner,9
346,ballooning,10
347,balloonist,10
348,balloonry,9
349,ballot,6
350,balloted,8
351,balloting,9
352,ballotade,9
353,ballotation,11
354,balloter,8
355,ballotin,8
356,ballow,6
357,ballproof,9
358,ballroom,8
359,balm,4
360,balmify,7
361,balmily,7
362,balmoral,8
363,balmy,5
364,balneal,7
365,balneary,8
366,balneation,10
367,balneatory,10
368,balneography,12
369,balneology,10
370,balneotherapy,13
371,balotade,8
372,balsa,5
373,balsam,6
374,balsamation,11
375,balsamic,8
376,balsamical,10
377,balsamiferous,13
378,balsamine,9
379,balsamous,9
380,balter,6
381,baltic,6
382,baluster,8
383,balustered,10
384,balustrade,10
385,bam,3
386,bambino,7
387,bambocciade,11
388,bamboo,6
389,bamboozled,10
390,bamboozling,11
391,bamboozle,9
392,bamboozler,10
393,ban,3
394,banned,6
395,banning,7
396,banal,5
397,banalities,10
398,banality,8
399,banana,6
400,banat,5
401,banc,4
402,bancus,6
403,bank,4
404,banco,5
405,band,4
406,banded,6
407,banding,7
408,bandage,7
409,bandaged,8
410,bandaging,9
411,bandala,7
412,bandanna,8
413,bandana,7
414,bandbox,7
415,bandeaux,8
416,bandeau,7
417,bandelet,8
418,bandlet,7
419,bander,6
420,banderole,9
421,bandrol,7
422,bandicoot,9
423,bandits,7
424,banditti,8
425,bandit,6
426,bandle,6
427,bandmaster,10
428,bandog,6
429,bandoleer,9
430,bandolier,9
431,bandoline,9
432,bandon,6
433,bandore,7
434,bandy,5
435,bandies,7
436,bandied,7
437,bandying,8
438,bane,4
439,baneberry,9
440,baneful,7
441,banewort,8
442,banged,6
443,banging,7
444,bang,4
445,bangue,6
446,bangle,6
447,banian,6
448,banished,8
449,banishing,9
450,banish,6
451,banisher,8
452,banishment,10
453,banister,8
454,banked,6
455,banking,7
456,bankable,8
457,banker,6
458,bankeress,9
459,bankrupt,8
460,bankrupted,10
461,bankrupting,11
462,bankruptcies,12
463,bankruptcy,10
464,bankside,8
465,banlieue,8
466,banner,6
467,bannered,8
468,banneret,8
469,bannerol,8
470,bannition,9
471,bannock,7
472,banns,5
473,banquet,7
474,banqueted,9
475,banqueting,10
476,banquetter,10
477,banquette,9
478,banshee,7
479,banshie,7
480,banstickle,10
481,bantam,6
482,banteng,7
483,bantered,8
484,bantering,9
485,banter,6
486,banterer,8
487,bantingism,10
488,bantling,8
489,banxring,8
490,banyan,6
491,baobab,6
492,baphomet,8
493,baptism,7
494,baptismal,9
495,baptismally,11
496,baptist,7
497,baptisteries,12
498,baptistery,10
499,baptistry,9
500,baptistic,9
501,baptistical,11
502,baptizable,10
503,baptization,11
504,baptized,8
505,baptizing,9
506,baptize,7
507,baptizement,11
508,baptizer,8
509,bar,3
510,barred,6
511,barring,7
512,barb,4
513,barbed,6
514,barbing,7
515,barbacan,8
