,C,Length
0,caaba,5
1,caas,4
2,cab,3
3,cabal,5
4,caballed,8
5,caballing,9
6,cabala,6
7,cabalism,8
8,cabalist,8
9,cabalistic,10
10,cabalistical,12
11,cabalistically,14
12,cabalize,8
13,caballer,8
14,caballine,9
15,cabaret,7
16,cabas,5
17,cabassou,8
18,cabbage,7
19,cabbaged,8
20,cabbaging,9
21,cabbler,7
22,cabbling,8
23,cabeca,6
24,cabesse,7
25,caber,5
26,cabezon,7
27,cabiai,6
28,cabin,5
29,cabined,7
30,cabining,8
31,cabinet,7
32,cabineting,10
33,cabinetmaker,12
34,cabinetmaking,13
35,cabinetwork,11
36,cabirean,8
37,cabbiri,7
38,cabirian,8
39,cabiric,7
40,cable,5
41,cabled,6
42,cabling,7
43,cablegram,9
44,cablelaid,9
45,cablet,6
46,cabmen,6
47,cabman,6
48,cabob,5
49,caboched,8
50,caboodle,8
51,caboose,7
52,cabotage,8
53,cabree,6
54,cabrerite,9
55,cabrilla,8
56,cabriole,8
57,cabriolet,9
58,cabrit,6
59,caburn,6
60,cacaemia,8
61,cachaemia,9
62,cacaine,7
63,cacajao,7
64,cacao,5
65,cachalot,8
66,cache,5
67,cachectic,9
68,cachectical,11
69,cachepot,8
70,cachet,6
71,cachexia,8
72,cachexy,7
73,cachinnation,12
74,cachinnatory,12
75,cachiri,7
76,cacholong,9
77,cachou,6
78,cachucha,8
79,cachunde,8
80,cacique,7
81,cack,4
82,cackerel,8
83,cackled,7
84,cackling,8
85,cackle,6
86,cackler,7
87,cacochymia,10
88,cacochymy,9
89,cacochymic,10
90,cacochymical,12
91,cacodemon,9
92,cacodoxical,11
93,cacodoxy,8
94,cacodyl,7
95,cacodylic,9
96,cacoethes,9
97,cacogastric,11
98,cacographic,11
99,cacography,10
100,cacolet,7
101,cacology,8
102,cacomixle,9
103,cacomixtle,10
104,cacomixl,8
105,cacoon,6
106,cacophonic,10
107,cacophonical,12
108,cacophonous,11
109,cacophonious,12
110,cacophonies,11
111,cacophony,9
112,cacotechny,10
113,cacoxene,8
114,cacoxenite,10
115,cactaceous,10
116,cactuses,8
117,cacti,5
118,cactus,6
119,cacuminal,9
120,cacuminate,10
121,cad,3
122,cadastral,9
123,cadastre,8
124,cadaster,8
125,cadaver,7
126,cadaveric,9
127,cadaverous,10
128,cadbait,7
129,caddice,7
130,caddis,6
131,caddish,7
132,caddow,6
133,caddies,7
134,caddy,5
135,cade,4
136,cadence,7
137,cadency,7
138,cadene,6
139,cadent,6
140,cadenza,7
141,cader,5
142,cadet,5
143,cadetship,9
144,cadew,5
145,cadeworm,8
146,cadged,6
147,cadging,7
148,cadge,5
149,cadger,6
150,cadgy,5
151,cadi,4
152,cadie,5
153,caddie,6
154,cadilesker,10
155,cadillac,8
156,cadis,5
157,cadmean,7
158,cadmia,6
159,cadmian,7
160,cadmic,6
161,cadmium,7
162,cadrans,7
163,cadre,5
164,caducary,8
165,caducean,8
166,caduceus,8
167,caducibranchiate,16
168,caducity,8
169,caducous,8
170,caduke,6
171,cady,4
172,caeca,5
173,caecal,6
174,caecias,7
175,caecilian,9
176,caecums,7
177,caecum,6
178,caenozoic,9
179,caesar,6
180,caesarean,9
181,caesarian,9
182,caesarism,9
183,caesious,8
184,caesium,7
185,caespitose,10
186,caesuras,8
187,caesurae,8
188,caesura,7
189,caesural,8
190,cafe,4
191,cafenet,7
192,cafeneh,7
193,caffeic,7
194,caffeine,8
195,caffetannic,11
196,caffila,7
197,caffre,6
198,cafila,6
199,cafileh,7
200,caftan,6
201,cag,3
202,cage,4
203,caged,5
204,caging,6
205,cageling,8
206,cagit,5
207,cagmag,6
208,cagot,5
209,cahier,6
210,cahincic,8
211,cahoot,6
212,caimacam,8
213,caiman,6
214,cainozoic,9
215,caique,6
216,caird,5
217,cairn,5
218,cairngormstone,14
219,caisson,7
