,G,Length
0,gab,3
1,gabarage,8
2,gabardine,9
3,gaberdine,9
4,gabber,6
5,gabbled,7
6,gabbling,8
7,gabble,6
8,gabbier,7
9,gabbro,6
10,gabel,5
11,gabeler,7
12,gabelle,7
13,gabelleman,10
14,gabert,6
15,gabion,6
16,gabionade,9
17,gabionage,9
18,gabioned,8
19,gabionnade,10
20,gable,5
21,gablet,6
22,gablock,7
23,gaby,4
24,gad,3
25,gadded,6
26,gadding,7
27,gadabout,8
28,gadbee,6
29,gadder,6
30,gaddingly,9
31,gaddish,7
32,gade,4
33,gadere,6
34,gadre,5
35,gadflies,8
36,gadfly,6
37,gadhelic,8
38,gadic,5
39,gaditanian,10
40,gadling,7
41,gadman,6
42,gadoid,6
43,gadolinia,9
44,gadolinic,9
45,gadolinite,10
46,gadolinium,10
47,gadsman,7
48,gaduin,6
49,gadwall,7
50,gael,4
51,gaelic,6
52,gaff,4
53,gaffed,6
54,gaffing,7
55,gaffer,6
56,gaffle,6
57,gagged,6
58,gagging,7
59,gag,3
60,gagate,6
61,gage,4
62,gaged,5
63,gaging,6
64,gager,5
65,gagger,6
66,gaggled,7
67,gaggling,8
68,gaggle,6
69,gagtooth,8
70,gahnite,7
71,gaidic,6
72,gaiety,6
73,gailer,6
74,gaillard,8
75,gailliarde,10
76,gaily,5
77,gain,4
78,gained,6
79,gaining,7
80,gainable,8
81,gainage,7
82,gainer,6
83,gainful,7
84,gaingiving,10
85,gainless,8
86,gainly,6
87,gainpain,8
88,gainsaid,8
89,gainsaying,10
90,gainsay,7
91,gainsayer,9
92,gainsome,8
93,gainstood,9
94,gainstanding,12
95,gainstand,9
96,gainstrive,10
97,gairfowl,8
98,gairish,7
99,gairishly,9
100,gairish/ness,12
101,gait,4
102,gaited,6
103,gaiter,6
104,gaitre,6
105,gaytre,6
106,gala,4
107,galactic,8
108,galactin,8
109,galactodensimeter,17
110,galactometer,12
111,galactophagist,14
112,galactophagous,14
113,galactophorous,14
114,galactopoietic,14
115,galactose,9
116,galage,6
117,galagos,7
118,galago,6
119,galanga,7
120,galangal,8
121,galantine,9
122,galatian,8
123,galaxies,8
124,galaxy,6
125,galban,6
126,galbanum,8
127,gale,4
128,galea,5
129,galeas,6
130,galeate,7
131,galeated,8
132,galei,5
133,galena,6
134,galenic,7
135,galenical,9
136,galenism,8
137,galenist,8
138,galenite,8
139,galerite,8
140,galician,8
141,galilean,8
142,galilee,7
143,galimatias,10
144,galingale,9
145,galiot,6
146,galipot,7
147,gall,4
148,galled,6
149,galling,7
150,gallant,7
151,gallanted,9
152,gallanting,10
153,gallantly,9
154,gallantness,11
155,gallantries,11
156,gallantry,9
157,gallate,7
158,gallature,9
159,galleass,8
160,gallegan,8
161,gallego,7
162,gallein,7
163,galleon,7
164,galleot,7
165,galleries,9
166,gallery,7
167,galletyle,9
168,galleys,7
169,galley,6
170,gallflies,9
171,gallfly,7
172,gallyambic,10
173,gallian,7
174,galliard,8
175,galliardise,11
176,galliardness,12
177,galliass,8
178,gallic,6
179,gallican,8
180,gallicanism,11
181,gallicism,9
182,gallicized,10
183,gallicizing,11
184,gallicize,9
185,gallied,7
186,galliform,9
187,galligaskins,12
188,gallimatia,10
189,gallimaufries,13
190,gallimaufry,11
191,gallin,6
192,gallinaceae,11
193,gallinacean,11
194,gallinaceous,12
195,gallinae,8
196,gallinipper,11
197,gallinule,9
198,galliot,7
199,gallipot,8
200,gallium,7
201,gallivant,9
202,gallivat,8
203,galliwasp,9
204,gallnut,7
205,gallomania,10
206,gallon,6
207,galloon,7
208,gallooned,9
209,galloped,8
210,galloping,9
211,gallop,6
212,gallopade,9
213,gallopaded,10
214,gallopading,11
215,galloper,8
216,gallopin,8
217,gallotannic,11
218,gallow,6
219,galloway,8
220,gallowglass,11
221,gallowses,9
222,gallows,7
223,gallstone,9
224,gally,5
225,gallygaskins,12
226,galoche,7
227,galoshe,7
228,galoot,6
229,galop,5
230,galore,6
231,galpe,5
232,galsome,7
233,galt,4
234,galvanic,8
235,galvanism,9
236,galvanist,9
237,galvanization,13
238,galvanized,10
239,galvanizing,11
240,galvanize,9
241,galvanizer,10
242,galvanocaustic,14
243,galvanocautery,14
244,galvanoglyphy,13
245,galvanograph,12
246,galvanographic,14
247,galvanography,13
248,galvanologist,13
249,galvanology,11
250,galvanometer,12
251,galvanometric,13
252,galvanometry,12
253,galvanoplastic,14
254,galvanoplasty,13
255,galvanopuncture,15
256,galvanoscope,12
257,galvanoscopic,13
258,galvanoscopy,12
259,galvanotonus,12
