,H,Length
0,ha,2
1,haaf,4
2,haak,4
3,haar,4
4,habendum,8
5,haberdash,9
6,haberdasher,11
7,haberdashery,12
8,haberdine,9
9,habergeon,9
10,habilatory,10
11,habile,6
12,habiliment,10
13,habilimented,12
14,habilitate,10
15,habilitation,12
16,hability,8
17,habit,5
18,habited,7
19,habiting,8
20,habitability,12
21,habitable,9
22,habitakle,9
23,habitan,7
24,habitance,9
25,habiitancy,10
26,habitant,8
27,habitat,7
28,habitation,10
29,habitator,9
30,habitual,8
31,habituated,10
32,habituating,11
33,habituate,9
34,habituation,11
35,habitude,8
36,habitue,7
37,habiture,8
38,habitus,7
39,hable,5
40,habnab,6
41,hachure,7
42,hacienda,8
43,hack,4
44,hacked,6
45,hacking,7
46,hackamore,9
47,hackberry,9
48,hackbolt,8
49,hackbuss,8
50,hackee,6
51,hacker,6
52,hackery,7
53,hackle,6
54,hackled,7
55,hackling,8
56,hackly,6
57,hackmen,7
58,hackman,7
59,hackmatack,10
60,hackneys,8
61,hackney,7
62,hackneyed,9
63,hackneying,10
64,hackneymen,10
65,hackneyman,10
66,hackster,8
67,hacqueton,9
68,had,3
69,hadder,6
70,haddie,6
71,haddock,7
72,hade,4
73,hades,5
74,hadj,4
75,hadji,5
76,hadrosaurus,11
77,haecceity,9
78,haemachrome,11
79,haemacyanin,11
80,haemacytometer,14
81,haemad,6
82,haemadrometer,13
83,haemadremometer,15
84,haemadrometry,13
85,haemadromometry,15
86,haemadromograph,15
87,haemadynameter,14
88,haemadynamometer,16
89,haemadynamics,13
90,haemal,6
91,haemaphaein,11
92,haemapod,8
93,haemapodous,11
94,haemapoietic,12
95,haemapophysis,13
96,haemastatics,12
97,haematachometer,15
98,haematachometry,15
99,haematemesis,12
100,haematic,8
101,haematin,8
102,haematinometer,14
103,haematinometric,15
104,haematite,9
105,haematitic,10
106,haematoblast,12
107,haematocrya,11
108,haematocryal,12
109,haematocrystallin,17
110,haematodynamometer,18
111,haematogenesis,14
112,haematogenic,12
113,haematogenous,13
114,haematoglobulin,15
115,haematoid,9
116,haematoidin,11
117,haematoin,9
118,haematolin,10
119,haematology,11
120,haematometer,12
121,haematophlina,13
122,haematoplast,12
123,haematoplastic,14
124,haematoporphyrin,16
125,haematosac,10
126,haematoscope,12
127,haematosin,10
128,haematosis,10
129,haematotherma,13
130,haematothermal,14
131,haematothorax,13
132,haematexylin,12
133,haematoxylon,12
134,haematozoa,10
135,haematozoon,11
136,haemic,6
137,haemin,6
138,haemochrome,11
139,haemochromogen,14
140,haemochromometer,16
141,haemocyanin,11
142,haemocytolysis,14
143,haemocytometer,14
144,haemocytotrypsis,16
145,haemodromograph,15
146,haemodynameter,14
147,haemoglobin,11
148,haemoglobinometer,17
149,haemolutein,11
150,haemomanometer,14
151,haemometer,10
152,haemony,7
153,haemoplastic,12
154,haemorrhoidal,13
155,haemoscope,10
156,haemostatic,11
157,haemotachometer,15
158,haemotachometry,15
159,haf,3
160,haffle,6
161,haft,4
162,hafter,6
163,hag,3
164,hagged,6
165,hagging,7
166,hagberry,8
167,hagborn,7
168,hagbut,6
169,hagbutter,9
170,hagdon,6
171,haggadoth,9
172,haggada,7
173,haggard,7
174,haggardly,9
175,haggis,6
176,haggish,7
177,haggishly,9
178,haggled,7
179,haggling,8
180,haggle,6
181,haggler,7
182,hagiarchy,9
183,hagiocracy,10
184,hagiographa,11
185,hagiographal,12
186,hagiographer,12
187,hagiography,11
188,hagiolatry,10
189,hagiologist,11
190,hagiology,9
191,hagioscope,10
192,hagseed,7
193,hagship,7
194,haguebut,8
195,hah,3
196,haidingerite,12
197,haiduck,7
198,haik,4
199,haikal,6
200,hail,4
201,halled,6
202,halting,7
203,hailse,6
204,hailshot,8
205,hailstone,9
206,hailstorm,9
207,haily,5
208,han,3
209,hair,4
210,hairbell,8
211,hairbird,8
212,hairbrained,11
213,hairbreadth,11
214,hairbrush,9
215,haircloth,9
216,hairdresser,11
217,haired,6
218,hairen,6
219,hairiness,9
220,hairless,8
221,hairpin,7
222,hairsplitter,12
223,hairsplitting,13
224,hairspring,10
225,hairstreak,10
226,hairtail,8
227,hairworm,8
228,hairy,5
229,haitian,7
230,haye,4
231,hake,4
232,haketon,7
233,hakim,5
234,halachoth,9
235,halacha,7
236,halation,8
237,halberd,7
238,halberdier,10
239,halcyon,7
240,halcyonian,10
241,halcyonold,10
242,hale,4
243,haled,5
244,haling,6
245,halesia,7
246,half,4
247,halves,6
248,halfbeak,8
249,halfcocked,10
250,halfcocking,11
251,halfcock,8
252,halfen,6
253,halfendeal,10
254,halfer,6
255,halfness,8
256,halfpace,8
257,halfway,7
258,halibut,7
259,halichondriae,13
260,halicore,8
261,halidom,7
262,halieutics,10
263,halmas,6
264,haliographer,12
265,haliography,11
266,haliotis,8
267,haliotoid,9
268,halisauria,10
269,halite,6
270,halituous,9
271,halk,4
272,hall,4
273,hallage,7
274,halleluiah,10
275,hallelujah,10
276,hallelujatic,12
277,halliard,8
278,hallidome,9
279,hallier,7
280,halloa,6
281,halloo,6
282,hallooed,8
283,halloing,8
284,hallowed,8
285,hallowing,9
286,hallow,6
287,halloween,9
288,hallowmas,9
289,halloysite,10
290,hallucal,8
291,hallucinate,11
292,hallucination,13
293,hallucinator,12
294,hallucinatory,13
295,hallux,6
296,halm,4
297,halma,5
298,halos,5
299,halo,4
300,haloed,6
301,haloing,7
302,halogen,7
303,halogenous,10
304,haloid,6
305,halomancy,9
306,halometer,9
307,halones,7
308,halophyte,9
309,haloscope,9
310,halotrichite,12
311,haloxyline,10
312,halp,4
313,halpace,7
314,hals,4
315,halse,5
316,halsed,6
317,halsing,7
318,halsening,9
319,halser,6
320,halt,4
321,halted,6
