,I,Length
0,we,2
1,our,3
2,ours,4
3,us,2
4,iamatology,10
5,iamb,4
6,iambic,6
7,iambical,8
8,iambically,10
9,iambize,7
10,iambi,5
11,iambuses,8
12,iambus,6
13,ianthinae,9
14,ianthinas,9
15,ianthina,8
16,iatraliptic,11
17,iatric,6
18,iatrical,8
19,iatrochemical,13
20,iatrochemist,12
21,iatrochemistry,14
22,iatromathematical,17
23,iatromathematician,18
24,iberian,7
25,ibexes,6
26,ibices,6
27,ibex,4
28,ibidem,6
29,ibis,4
30,icarian,7
31,ice,3
32,iced,4
33,icing,5
34,iceberg,7
35,icebird,7
36,icebound,8
37,icefall,7
38,icelander,9
39,icelandic,9
40,icemen,6
41,iceman,6
42,icequake,8
43,ich,3
44,ichneumon,9
45,ichneumonidan,13
46,ichneumonides,13
47,ichnite,7
48,ichnographic,12
49,ichnographical,14
50,ichnography,11
51,ichnolite,9
52,ichnolithology,14
53,ichnological,12
54,ichnology,9
55,ichnoscopy,10
56,ichor,5
57,ichorhaemia,11
58,ichorous,8
59,ichthidin,9
60,ichthin,7
61,ichthulin,9
62,ichthus,7
63,ichthyic,8
64,ichthyocol,10
65,ichthyocolla,12
66,ichthyocoprolite,16
67,ichthyodorulite,15
68,ichthyography,13
69,ichthyoid,9
70,ichthyoidal,11
71,ichthyolatry,12
72,ichthyolite,11
73,ichthyologic,12
74,ichthyological,14
75,ichthyologist,13
76,ichthyology,11
77,ichthyomancy,12
78,ichthyomorpha,13
79,ichthyomorphic,14
80,ichthyomorphous,15
81,ichthyophagist,14
82,ichthyophagous,14
83,ichthyohagy,11
84,ichthyophthalmite,17
85,ichthyophthira,14
86,ichthyopsida,12
87,ichthyopterygia,15
88,ichthyopterygium,16
89,ichthyornis,11
90,ichthyosaur,11
91,ichthyosauria,13
92,ichthyosaurian,14
93,ichthyosauri,12
94,ichthyosaurus,13
95,ichthyosis,10
96,ichthyotomist,13
97,ichthyoomy,10
98,ichthys,7
99,icicle,6
100,icicled,7
101,icily,5
102,iciness,7
103,ickle,5
104,icon,4
105,iconical,8
106,iconism,7
107,iconize,7
108,iconoclasm,10
109,iconoclast,10
110,iconoclastic,12
111,iconodule,9
112,iconodulist,11
113,iconographer,12
114,iconographic,12
115,iconography,11
116,iconolater,10
117,iconolatry,10
118,iconology,9
119,iconomachy,10
120,iconomical,10
121,iconophilist,12
122,icosahedral,11
123,icosahedron,11
124,icosandria,10
125,icosandrian,11
126,icosandrous,11
127,icositetrahedron,16
128,icteric,7
129,icterical,9
130,icteritious,11
131,icteritous,10
132,icteroid,8
