,J,Length
0,jab,3
1,jabbered,8
2,jabbering,9
3,jabber,6
4,jabberingly,11
5,jabberment,10
6,jabbernowl,10
7,jabiru,6
8,jaborandi,9
9,jaborine,8
10,jabot,5
11,jacamar,7
12,jacana,6
13,jacaranda,9
14,jacare,6
15,jacchus,7
16,jacconet,8
17,jacent,6
18,jacinth,7
19,jack,4
20,jackal,6
21,jackanapes,10
22,jackass,7
23,jackdaw,7
24,jackeen,7
25,jacket,6
26,jacketed,8
27,jacketing,9
28,jackknife,9
29,jackmen,7
30,jackman,7
31,jackpudding,11
32,jacksaw,7
33,jackscrew,9
34,jackslave,9
35,jacksmith,9
36,jacksnipe,9
37,jackstay,8
38,jackstone,9
39,jackstraw,9
40,jackwood,8
41,jacob,5
42,jacobean,8
43,jacobian,8
44,jacobin,7
45,jacobine,8
46,jacobinic,9
47,jacobinical,11
48,jacobinism,10
49,jacobinized,11
50,jacobinizing,12
51,jacobinize,10
52,jacobite,8
53,jacobitic,9
54,jacobitical,11
55,jacobitism,10
56,jacobuses,9
57,jacobus,7
58,jaconet,7
59,jacquard,8
60,jacqueminot,11
61,jacquerie,9
62,jactancy,8
63,jactation,9
64,jactitation,11
65,jaculable,9
66,jaculated,9
67,jaculating,10
68,jaculate,8
69,jaculation,10
70,jaculator,9
71,jaculatory,10
72,jadding,7
73,jade,4
74,jaded,5
75,jading,6
76,jadeite,7
77,jadery,6
78,jadish,6
79,jaeger,6
80,jag,3
81,jagged,6
82,jagging,7
83,jaganatha,9
84,jager,5
85,jagg,4
86,jagger,6
87,jaggery,7
88,jaggy,5
89,jaghir,6
90,jaghirdar,9
91,jaguar,6
92,jaguarondi,10
93,jah,3
94,jail,4
95,jailer,6
96,jain,4
97,jaina,5
98,jainism,7
99,jairou,6
100,jak,3
101,jakes,5
102,jakie,5
103,jako,4
104,jakwood,7
105,jalap,5
106,jalapic,7
107,jalapin,7
108,jalons,6
109,jalousie,8
110,jalousied,9
111,jam,3
112,jammed,6
113,jamming,7
114,jamacina,8
115,jamadar,7
116,jamaica,7
117,jamaican,8
118,jamaicine,9
119,jamb,4
120,jambee,6
121,jambes,6
122,jambeux,7
123,jambolana,9
124,jamdani,7
125,jamesonite,10
126,jan,3
127,jane,4
128,jangled,7
129,jangling,8
130,jangle,6
131,jangler,7
132,jangleress,10
133,janglery,8
134,janissary,9
135,janitor,7
136,janitress,9
137,janitrix,8
138,janizar,7
139,janizarian,10
140,janizaries,10
141,janizary,8
142,janker,6
143,jansenism,9
144,jansenist,9
145,jant,4
146,janthina,8
147,jantily,7
148,jantiness,9
149,jantu,5
150,janty,5
151,january,7
152,janus,5
153,japan,5
154,japanned,8
155,japanning,9
156,japanese,8
