,K,Length
0,kaama,5
1,kabala,6
2,kabassou,8
3,kabob,5
4,kabook,6
5,kabyle,6
6,kadder,6
7,kadi,4
8,kadiaster,9
9,kafal,5
10,kaffir,6
11,kafir,5
12,kaffle,6
13,kafilah,7
14,kaftan,6
15,kage,4
16,kagu,4
17,kaguan,6
18,kahani,6
19,kahau,5
20,kail,4
21,kaimacam,8
22,kain,4
23,kainit,6
24,kainite,7
25,kainozoic,9
26,kaique,6
27,kairine,7
28,kairoline,9
29,kaiser,6
30,kaka,4
31,kakapo,6
32,kakaralli,9
33,kakistocracy,12
34,kakoxene,8
35,kalan,5
36,kalasie,7
37,kale,4
38,kaleege,7
39,kaleidophon,11
40,kaleidophone,12
41,kaleidoscope,12
42,kaleidoscopic,13
43,kaleidoscopical,15
44,kalendar,8
45,kalendarial,11
46,kalender,8
47,kalends,7
48,kali,4
49,kalif,5
50,kaliform,8
51,kaligenous,10
52,kalium,6
53,kalki,5
54,kalmia,6
55,kalmuck,7
56,kalong,6
57,kaloyer,7
58,kalpa,5
59,kalsomine,9
60,kam,3
61,kama,4
62,kamala,6
63,kame,4
64,kami,4
65,kamichi,7
66,kamptulicon,11
67,kampylite,9
68,kamsin,6
69,khamsin,7
70,kamtschadales,13
71,kan,3
72,kanacka,7
73,kanaka,6
74,kanchil,7
75,kand,4
76,kangaroo,8
77,kansas,6
78,kantian,7
79,kantianism,10
80,kantism,7
81,kantist,7
82,kanttry,7
83,kaolin,6
84,kaoline,7
85,kaolinization,13
86,kaolinize,9
87,kapelle,7
88,kapellmeister,13
89,kapia,5
90,kapnomar,8
91,karagane,8
92,karaism,7
93,karaite,7
94,karatas,7
95,karma,5
96,karmathian,10
97,karn,4
98,karob,5
99,karpholite,10
100,karroos,7
101,karreo,6
102,karstenite,10
103,karvel,6
104,karyokinesis,12
105,karyokinetic,12
106,karyomiton,10
107,karyoplasma,11
108,karyostenosis,13
109,kasack,6
110,kat,3
111,katabolic,9
112,katabolism,10
113,katastate,9
114,kate,4
115,kathetal,8
116,kathetometer,12
117,kattinumdoo,11
118,katydid,7
119,kauri,5
120,kava,4
121,kavasses,8
122,kavass,6
123,kaw,3
124,kawaka,6
125,kawn,4
126,kayak,5
127,kayaker,7
128,kayko,5
129,kayles,6
130,kaynard,7
131,kecked,6
132,kecking,7
133,keck,4
134,keckle,6
135,keckled,7
136,keckling,8
137,kecklish,8
138,kecksies,8
139,kecksy,6
140,kecky,5
141,kedged,6
142,kedging,7
143,kedge,5
144,kedger,6
145,kedlook,7
146,kee,3
147,keech,5
148,keel,4
149,keeled,6
150,keeling,7
151,keelage,7
152,keeler,6
153,keelfat,7
154,keelhauled,10
155,keelhauling,11
156,keelhaul,8
157,keelivine,9
158,men,3
159,keelman,7
160,keelrake,8
161,keels,5
162,keelson,7
163,keelvat,7
164,keen,4
165,keener,6
166,keenly,6
167,keenness,8
168,kept,4
169,keeping,7
170,keep,4
171,keeper,6
172,keepership,10
173,keepsake,8
174,keesh,5
175,keeve,5
176,keeved,6
177,keeving,7
178,keever,6
179,keg,3
180,keir,4
181,keitloa,7
182,keld,4
183,kele,4
184,kell,4
185,keloid,6
186,kelotomy,8
187,kelp,4
188,kelpfish,8
189,kelpies,7
190,kelpie,6
191,kelpy,5
192,kelpware,8
193,kelson,6
194,kelt,4
195,kelter,6
196,keltic,6
197,kembed,6
198,kempt,5
199,kembing,7
200,kemb,4
201,kemelin,7
202,kemp,4
203,kempty,6
204,kempe,5
205,kemps,5
206,ken,3
207,kenned,6
208,kenning,7
209,kendal,6
210,kennel,6
211,kenneled,8
212,kennelled,9
213,kennelling,10
214,keno,4
215,kenogenesis,11
216,kenogenetic,11
217,kenspeckle,10
218,kentle,6
219,kentledge,9
220,kentucky,8
221,kephalin,8
222,keramic,7
223,keramics,8
224,keramographic,13
225,kerana,6
226,kerargyrite,11
227,kerasin,7
228,kerasine,8
229,keratin,7
230,keratitis,9
231,keratode,8
232,keratogenous,12
233,keratoidea,10
234,keratome,8
235,keratonyxis,11
236,keratophyte,11
237,keratosa,8
238,keratose,8
239,keraunograph,12
240,kerb,4
241,kerbstone,9
242,kercher,7
243,kerchered,9
244,kerchiefs,9
245,kerchief,8
246,kerchiefed,10
247,kerchieft,9
248,kerf,4
249,kerite,6
250,kerl,4
251,kermes,6
252,kermesse,8
253,kern,4
254,kerned,6
255,kerning,7
256,kernel,6
257,kerneled,8
258,kernelled,9
259,kerneling,9
260,kernelling,10
261,kernelly,8
262,kerish,6
263,kerolite,8
264,kerosene,8
265,kers,4
266,kerse,5
267,kerseys,7
268,kersey,6
269,kerseymere,10
270,kerseynette,11
271,kerve,5
272,kerver,6
273,kesar,5
274,keslop,6
275,kess,4
276,kest,4
277,kestrel,7
278,ket,3
279,ketch,5
280,ketchup,7
281,ketine,6
282,ketmie,6
283,ketol,5
284,ketone,6
285,ketonic,7
286,kettle,6
287,kettledrum,10
288,kettledrummer,13
289,keuper,6
290,kevel,5
291,kevin,5
292,kever,5
293,keverchief,10
294,kex,3
295,key,3
296,keved,5
297,keying,6
298,keyage,6
299,keyboard,8
300,keyed,5
301,keyhole,7
302,keynote,7
303,keyseat,7
304,keystone,8
305,keyway,6
306,khaliff,7
307,khan,4
308,khanate,7
309,khaya,5
310,khedive,7
311,khenna,6
312,kholah,6
313,kholsun,7
314,khutbah,7
315,kiang,5
316,kibble,6
317,kibblings,9
318,kibe,4
319,kibed,5
320,kibitkas,8
321,kibitka,7
322,kiblah,6
323,kiby,4
324,kichil,6
325,kicred,6
326,kicking,7
327,kick,4
328,kickable,8
329,kickapoos,9
330,kicker,6
331,kickshaw,8
332,kickshawses,11
333,kickshaws,9
334,kickshoe,8
335,kickup,6
336,kid,3
337,kidded,6
338,kidding,7
339,kidde,5
340,kidderminster,13
341,kiddier,7
342,kiddle,6
343,kiddow,6
344,kiddy,5
345,kiddyish,8
346,kidfox,6
347,kidling,7
348,kidnaped,8
349,kidnapped,9
350,kidnaping,9
351,kidnapping,10
352,kidnap,6
353,kidnaper,8
354,kidnapper,9
355,kidneys,7
356,kidney,6
357,kidneywort,10
358,kie,3
359,kiefekil,8
360,kier,4
361,kieselguhr,10
362,kieserite,9
363,kieve,5
364,kike,4
365,kilderkin,9
366,kill,4
367,killed,6
368,killing,7
369,killdee,7
370,killdeer,8
371,killer,6
372,killesse,8
373,killifish,9
374,killigrew,9
375,killikinick,11
376,killock,7
377,killow,6
378,kiln,4
379,kilnhole,8
380,kilos,5
381,kilo,4
382,kilogram,8
383,kilogramme,10
384,kilogrammeter,13
385,kilogrammetre,13
386,kiloliter,9
387,kilolitre,9
388,kilometer,9
389,kilometre,9
390,kilostere,9
391,kilowatt,8
392,kilt,4
393,kilted,6
394,kilting,7
395,kilter,6
396,kimbo,5
397,kimmerian,9
398,kimnel,6
399,kimry,5
400,kin,3
401,kinaesodic,10
402,kinaesthesis,12
403,kinate,6
404,kincob,6
405,kind,4
406,kindergarten,12
407,kindergartner,13
408,kindle,6
409,kindled,7
410,kindling,8
411,kindler,7
412,kindless,8
413,kindliness,10
414,kinding,7
415,kindly,6
416,kindness,8
417,kindred,7
418,kine,4
419,kinematic,9
420,kinematical,11
421,kinematics,10
422,kinepox,7
423,kinesiatrics,12
424,kinesipathy,11
425,kinesitherapy,13
426,kinesodic,9
427,kinetic,7
428,kinetics,8
429,kinetogenesis,13
430,king,4
431,kinged,6
432,kinging,7
433,kingbird,8
434,kingbolt,8
435,kingcraft,9
436,kingcup,7
437,kingdom,7
438,kingdomed,9
439,kingfish,8
440,kingfisher,10
441,kinghood,8
442,kingless,8
443,kinglet,7
444,kinglihood,10
445,kingliness,10
446,kingling,8
447,kingly,6
448,kingship,8
449,kingston,8
450,kingstone,9
451,kingtruss,9
452,kinic,5
453,kink,4
454,kinked,6
455,kinking,7
456,kinkajou,8
457,kinkhaust,9
458,kinkle,6
459,kinky,5
460,kinnikinic,10
461,kino,4
462,kinology,8
463,kinone,6
464,kinoyl,6
465,kinrede,7
466,kinsfolk,8
467,kinship,7
468,kinsmen,7
469,kinsman,7
470,kinsmanship,11
471,kinswomen,9
472,kinswoman,9
473,kintlidge,9
474,kiosk,5
475,kioways,7
476,kip,3
477,kipe,4
478,kipper,6
479,kippered,8
480,kippering,9
481,kippernut,9
482,kipskin,7
483,kirk,4
484,kirked,6
485,kirkmen,7
486,kirkman,7
487,kirkyard,8
488,kirmess,7
489,kirschwasser,12
490,kirsome,7
491,kirtle,6
492,kirtled,7
493,kirumbo,7
494,kish,4
495,kismet,6
496,kissed,6
497,kissing,7
498,kiss,4
499,kisser,6
500,kissingcrust,12
501,kist,4
502,kistvaen,8
503,kitte,5
504,kit,3
505,kitcat,6
506,kitchen,7
507,kitchener,9
508,kitchenmaid,11
509,kite,4
510,kiteflying,10
511,kiteflier,9
512,kith,4
513,kithara,7
514,kithe,5
515,kitish,6
516,kitling,7
517,kittel,6
518,kitten,6
519,kittened,8
520,kittening,9
521,kittenish,9
522,kittiwake,9
523,kittle,6
524,kittlish,8
525,kittysol,8
526,kive,4
527,kiver,5
528,kivikivies,10
529,kiwikiwies,10
530,kivikivi,8
531,kiwikiwi,8
532,klamaths,8
533,kleeneboc,9
534,kleptomania,11
535,kleptomaniac,12
536,klick,5
537,klicket,7
538,klinkstone,10
539,klinometer,10
540,klipdas,7
541,klipdachs,9
542,klipfish,8
543,klipspringer,12
544,kloof,5
545,klopemania,10
546,knabbed,7
547,knabbing,8
548,knab,4
549,knabble,7
550,knack,5
551,knacker,7
552,knackish,8
553,knacky,6
554,knag,4
555,knagged,7
556,knaggy,6
557,knap,4
558,knapped,7
559,knapping,8
560,knapbottle,10
561,knappish,8
562,knapple,7
563,knappy,6
564,knapsack,8
565,knapweed,8
566,knar,4
567,knarl,5
568,knarled,7
569,knarred,7
570,knarry,6
571,knave,5
572,knaveries,9
573,knavery,7
574,knaveship,9
575,knavess,7
576,knavish,7
577,knavishly,9
578,knavishness,11
579,knaw,4
580,knawel,6
581,kneaded,7
582,kneading,8
583,knead,5
584,kneadable,9
585,kneader,7
586,kneadingly,10
587,knebelite,9
588,kneck,5
589,knee,4
590,kneebrush,9
591,kneecap,7
592,kneed,5
593,kneejoint,9
594,kneejointed,11
595,knelt,5
596,kneeled,7
597,kneeling,8
598,kneel,5
599,kneeler,7
600,kneelingly,10
601,kneepan,7
602,kneepiece,9
603,knell,5
604,knelled,7
605,knelling,8
606,knew,4
607,knicker,7
608,knickerbockers,14
609,knickknack,10
610,knickknackatory,15
611,knickknackery,13
612,knives,6
613,knife,5
614,knifed,6
615,knifing,7
616,knifeboard,10
617,knight,6
618,knighted,8
619,knighting,9
620,knightage,9
621,knighthead,10
622,knighthood,10
623,knightless,10
624,knightliness,12
625,knightly,8
626,knit,4
627,knitted,7
628,knitting,8
629,knitback,8
630,knitch,6
631,knitchet,8
632,knits,5
633,knitster,8
634,knitter,7
635,knittle,7
636,knob,4
637,knobbed,7
638,knobber,7
639,knobbing,8
640,knobbler,8
641,knobby,6
642,knobstick,9
643,knocked,7
644,knocking,8
645,knock,5
646,knockdown,9
647,knocker,7
648,knockings,9
649,knockstone,10
650,knoll,5
651,knolled,7
652,knolling,8
653,knoller,7
654,knop,4
655,knopped,7
656,knoppern,8
657,knopweed,8
658,knor,4
659,knosp,5
660,knot,4
661,knotted,7
662,knotting,8
663,knotberry,9
664,knotgrass,9
665,knotless,8
666,knottiness,10
667,knotty,6
668,knotweed,8
669,knotwort,8
670,knout,5
671,know,4
672,known,5
673,knowing,7
674,knowable,8
675,knower,6
676,knowingly,9
677,knowingness,11
678,knowleche,9
679,knowleching,11
680,knowledge,9
681,knubs,5
682,knuckle,7
683,knuckled,8
684,knuckling,9
685,knuff,5
686,knur,4
687,knurl,5
688,knurled,7
689,knurly,6
690,knurry,6
691,koaita,6
692,koala,5
693,kob,3
694,koba,4
695,kobalt,6
696,kobellite,9
697,kobold,6
698,kodak,5
699,koel,4
700,koff,4
701,kohinoor,8
702,kohnur,6
703,kohl,4
704,kokama,6
705,koklass,7
706,kokoon,6
707,kolarian,8
708,komenic,7
709,komtok,6
710,kon,3
711,konite,6
712,konze,5
713,koodoo,6
714,kookoom,7
715,koolokamba,10
716,koolslaa,8
717,koord,5
718,koordish,8
719,koorilian,9
720,kopeck,6
721,koran,5
722,korin,5
723,korrigum,8
724,kosmos,6
725,kotow,5
726,kotowed,7
727,kotowing,8
728,koulan,6
729,koumiss,7
730,kousso,6
731,kowtow,6
732,kra,3
733,kraal,5
734,krait,5
735,kraken,6
736,krakowiak,9
737,krameria,8
738,krameric,8
739,krang,5
740,kreatic,7
741,kreatin,7
742,kreatinin,9
743,kreel,5
744,kremlin,7
745,krems,5
746,kreng,5
747,kreosote,8
748,kreutzer,8
749,kriegsspiel,11
750,kris,4
751,krishna,7
752,kritarchy,9
753,krokidolite,11
754,krone,5
755,kroomen,7
756,krooman,7
757,kruller,7
758,krummhorn,9
759,krumhorn,8
760,kryolite,8
761,ksar,4
762,kshatriya,9
763,kshatruya,9
764,kuda,4
765,kudos,5
766,kudu,4
767,kufic,5
768,kukang,6
769,kuklux,6
770,kulan,5
771,kumish,6
