,M,Length
0,ma,2
1,maa,3
2,maad,4
3,maalin,6
4,maasha,6
5,maat,4
6,mad,3
7,mabble,6
8,mabby,5
9,mabolo,6
10,mac,3
11,macaco,6
12,macacus,7
13,macadamization,14
14,macadamized,11
15,macadamizing,12
16,macadamize,10
17,macao,5
18,macaque,7
19,macarize,8
20,macaronis,9
21,macaronies,10
22,macaroni,8
23,macaronian,10
24,macaronic,9
25,macaroon,8
26,macartney,9
27,macauco,7
28,macavahu,8
29,macaw,5
30,maccabean,9
31,maccabees,9
32,maccaboy,8
33,maccoboy,8
34,macco,5
35,mace,4
36,macedonian,10
37,macedonianism,13
38,macer,5
39,macerated,9
40,macerating,10
41,macerate,8
42,macerater,9
43,maceration,10
44,machaerodus,11
45,machairodus,11
46,machete,7
47,machiavelian,12
48,machiavelism,12
49,machiavelianism,15
50,machicolated,12
51,machicolation,13
52,machicoulis,11
53,machinal,8
54,machinated,10
55,machinating,11
56,machinate,9
57,machination,11
58,machinator,10
59,machine,7
60,machined,8
61,machining,9
62,machiner,8
63,machinery,9
64,machinist,9
65,macho,5
66,macilency,9
67,macilent,8
68,macintosh,9
69,mackerel,8
70,mackinaw,8
71,mackintosh,10
72,mackle,6
73,macle,5
74,macled,6
75,maclurea,8
76,maclurin,8
77,macrencephalic,14
78,macrencephalous,15
79,macrobiotic,11
80,macrobiotics,12
81,macrocephalous,14
82,macrochires,11
83,macrocosm,9
84,macrocosmic,11
85,macrocystis,11
86,macrodactyl,11
87,macrodactylic,13
88,macrodactylous,14
89,macrodiagonal,13
90,macrodome,9
91,macrodont,9
92,macrofarad,10
93,macroglossia,12
94,macrognathic,12
95,macrology,9
96,macrometer,10
97,macron,6
98,macropetalous,13
99,macrophyllous,13
100,macropinacoid,13
101,macropod,8
102,macropodal,10
103,macropodian,11
104,macropodous,11
105,macroprism,10
106,macropteres,11
107,macropterous,12
108,macropus,8
109,macropyramid,12
110,macroscopic,11
111,macroscopical,13
112,macrosporangium,15
113,macrospore,10
114,macrosporic,11
115,macrotone,9
116,macrotous,9
117,macroura,8
118,macroural,9
119,macrozoospore,13
120,macrura,7
121,macrural,8
122,macruran,8
123,macruroid,9
124,macrurous,9
125,mactation,9
126,mactra,6
127,maculae,7
128,macula,6
129,maculate,8
130,maculated,9
131,maculation,10
132,maculatory,10
133,maculature,10
134,macule,6
135,maculose,8
136,madded,6
137,madding,7
138,madams,6
139,mesdames,8
140,madam,5
141,madame,6
142,madbrain,8
143,madbrained,10
144,madcap,6
145,maddened,8
146,maddening,9
147,madden,6
148,madder,6
149,madderwort,10
150,maddish,7
151,made,4
152,madecass,8
153,madecassee,10
154,madefaction,11
155,madefication,12
156,madefied,8
157,madefying,9
158,madefy,6
159,madegassy,9
160,madeira,7
161,mesdemoiselles,14
162,mademoiselle,12
163,madge,5
164,madhouse,8
165,madia,5
166,madid,5
167,madisterium,11
168,madjoun,7
169,madly,5
170,madmen,6
171,madman,6
172,madnep,6
173,madness,7
174,madonna,7
175,madoqua,7
176,madrague,8
177,madreperl,9
178,madrepora,9
179,madreporaria,12
180,madrepore,9
181,madreporian,11
182,madreporic,10
183,madreporiform,13
184,madreporite,11
185,madrier,7
186,madrigal,8
187,madrigaler,10
188,madrigalist,11
189,madrilenian,11
190,madrina,7
191,madro�a,7
192,madwort,7
193,maegbote,8
194,magbote,7
195,maelstrom,9
196,maenad,6
197,maestoso,8
198,maestro,7
199,maffle,6
200,maffler,7
201,magazine,8
202,magazined,9
203,magazining,10
204,magaziner,9
205,magazinist,10
206,magdala,7
207,magdalen,8
208,magdaleon,9
209,magdeburg,9
210,mage,4
211,magellanic,10
212,magenta,7
213,magged,6
214,maggiore,8
215,maggot,6
216,maggotiness,11
217,maggotish,9
218,maggoty,7
219,maghet,6
220,magi,4
221,magian,6
222,magic,5
223,magical,7
224,magically,9
225,magician,8
226,magilp,6
227,magilph,7
228,magister,8
229,magisterial,11
230,magisteriality,14
231,magisterially,13
232,magisterialness,15
233,magistery,9
234,magistracies,12
235,magistracy,10
236,magistral,9
237,magistrality,12
238,magistrally,11
239,magistrate,10
240,magistratic,11
241,magistratical,13
242,magistrature,12
243,magma,5
244,magnality,9
245,magnanimity,11
246,magnanimous,11
247,magnanimously,13
248,magnate,7
249,magnes,6
250,magnesia,8
251,magnesian,9
252,magnesic,8
253,magnesite,9
254,magnesium,9
255,magnet,6
256,magnetic,8
257,magnetical,10
258,magnetically,12
259,magneticalness,14
260,magnetician,11
261,maneticness,11
262,magnetics,9
263,magnetiferous,13
264,magnetism,9
265,magnetist,9
266,magnetite,9
267,magnetizable,12
268,magnetization,13
269,magnetized,10
270,magnetizing,11
271,magnetize,9
272,magnetizee,10
273,magnetizer,10
274,magnetograph,12
275,magnetometer,12
276,magnetometric,13
277,magnetomotor,12
278,magnetotherapy,14
279,magnifiable,11
280,magnific,8
281,magnifical,10
282,magnificat,10
283,magnificate,11
284,magnification,13
285,magnificence,12
286,magnificent,11
287,magnificently,13
288,magnificoes,11
289,magnifico,9
290,magnifier,9
291,magnified,9
292,magnifying,10
293,magnify,7
294,magniloquence,13
295,magniloquent,12
296,magniloquous,12
297,magnitude,9
298,magnolia,8
299,magnoliaceous,13
300,magnum,6
301,magot,5
302,magpie,6
303,maguari,7
304,maguey,6
305,magyar,6
306,maha,4
307,mahabarata,10
308,mahabharatam,12
309,mahaled,7
310,maharajah,9
311,maharif,7
312,maharmah,8
313,mahdi,5
314,mahoe,5
315,mahogany,8
316,maholi,6
317,mahomedan,9
318,mahometan,9
319,mahometanism,12
320,mahometanized,13
321,mahometanizing,14
322,mahometanize,12
323,mahometism,10
324,mahometist,10
325,mahometry,9
326,mahone,6
327,mahonia,7
328,mahoohoo,8
329,mahori,6
330,mahound,7
331,mahout,6
332,mahovo,6
333,mahrati,7
334,mahratta,8
335,mahumetan,9
336,mahumetanism,12
337,maia,4
338,maian,5
339,maid,4
340,maiden,6
341,maidenhair,10
342,maidenhead,10
343,maidenhood,10
344,maidenlike,10
345,maidenliness,12
346,maidenly,8
347,maidenship,10
348,maidhood,8
349,maidmarian,10
350,maidpale,8
351,maidservant,11
352,maieutic,8
353,maieutical,10
354,maieutics,9
355,maiger,6
356,maigre,6
357,maihem,6
