,N,Length
0,na,2.0
1,nab,3.0
2,nabbed,6.0
3,nabbing,7.0
4,nabit,5.0
5,nabk,4.0
6,nabob,5.0
7,nacarat,7.0
8,nacker,6.0
9,nacre,5.0
10,nacreous,8.0
11,nad,3.0
12,nadde,5.0
13,nadder,6.0
14,nadir,5.0
15,naenia,6.0
16,naeve,5.0
17,naevoid,7.0
18,naevose,7.0
19,naevi,5.0
20,navus,5.0
21,nag,3.0
22,nagged,6.0
23,nagging,7.0
24,naggy,5.0
25,nagor,5.0
26,nagyagite,9.0
27,naiad,5.0
28,naiant,6.0
29,naid,4.0
30,naif,4.0
31,naik,4.0
32,nail,4.0
33,nailed,6.0
34,nailing,7.0
35,nailbrush,9.0
36,nailer,6.0
37,naileress,9.0
38,naileries,9.0
39,nailery,7.0
40,nailless,8.0
41,nainsook,8.0
42,nais,4.0
43,naissant,8.0
44,naive,5.0
45,naively,7.0
46,naivete,7.0
47,naivety,7.0
48,nake,4.0
49,naked,5.0
50,nakedly,7.0
51,nakedness,9.0
52,naker,5.0
53,nakoo,5.0
54,nale,4.0
55,nall,4.0
56,nam,3.0
57,namable,7.0
58,namation,8.0
59,namaycush,9.0
60,name,4.0
61,named,5.0
62,naming,6.0
63,nameless,8.0
64,namelessly,10.0
65,namely,6.0
66,namer,5.0
67,namesake,8.0
68,namo,4.0
69,nandine,7.0
70,nandou,6.0
71,nandu,5.0
72,nankeen,7.0
73,nanny,5.0
74,nannyberry,10.0
75,nanpie,6.0
76,naos,4.0
77,napped,6.0
78,napping,7.0
79,nap,3.0
80,nape,4.0
81,naperies,8.0
82,napery,6.0
83,naphew,6.0
84,naphtha,7.0
85,naphthalate,11.0
86,naphthalene,11.0
87,naphthalenic,12.0
88,naphthalic,10.0
89,naphthalidine,13.0
90,naphthalin,10.0
91,naphthaline,11.0
92,naphthalize,11.0
93,naphthazarin,12.0
94,naphthene,9.0
95,naphthide,9.0
96,naphthoic,9.0
97,naphthol,8.0
98,naphthoquinone,14.0
99,naphthyl,8.0
100,naphthylamine,13.0
101,napierian,9.0
102,naperian,8.0
103,napiform,8.0
104,napkin,6.0
105,napless,7.0
106,napoleon,8.0
107,napoleonic,10.0
108,napoleonist,11.0
109,nappe,5.0
110,nappiness,9.0
111,nappy,5.0
112,nappies,7.0
113,napu,4.0
114,napus,5.0
115,narceine,8.0
116,narcissine,10.0
117,narcissuses,11.0
118,narcissus,9.0
119,narcosis,8.0
120,narcotic,8.0
121,narcotical,10.0
122,narcotine,9.0
123,narcotinic,10.0
124,narcotism,9.0
125,narcotized,10.0
126,narcotizing,11.0
127,narcotize,9.0
128,nard,4.0
129,nardine,7.0
130,nardoo,6.0
131,nare,4.0
132,nares,5.0
133,nargile,7.0
134,nargileh,8.0
135,narica,6.0
136,nariform,8.0
137,narine,6.0
138,narrable,8.0
139,narragansetts,13.0
140,narrated,8.0
141,narrating,9.0
142,narrate,7.0
143,narration,9.0
144,narrative,9.0
145,narratively,11.0
146,narrator,8.0
147,narratory,9.0
148,narre,5.0
149,narrow,6.0
150,narrows,7.0
151,narrowed,8.0
152,narrowing,9.0
153,narrower,8.0
154,narrowly,8.0
155,narrowness,10.0
156,nart,4.0
157,narthex,7.0
158,narwal,6.0
159,narwe,5.0
160,narwhal,7.0
161,nas,3.0
162,nasal,5.0
163,nasality,8.0
164,nasalization,12.0
165,nasalized,9.0
166,nasalizing,10.0
167,nasalize,8.0
168,nasally,7.0
169,nascal,6.0
170,nascency,8.0
171,nascent,7.0
172,naseberry,9.0
173,nash,4.0
174,nasicornous,11.0
175,nasiform,8.0
176,nasion,6.0
177,nasobuccal,10.0
178,nasofrontal,11.0
179,nasolachrymal,13.0
180,nasopalatal,11.0
181,nasopalatine,12.0
182,nasopharyngeal,14.0
183,nasoseptal,10.0
184,nasoturbinal,12.0
185,nassas,6.0
186,nassae,6.0
187,nassa,5.0
188,nastily,7.0
189,nastiness,9.0
190,nasturtion,10.0
191,nasturtium,10.0
192,nasty,5.0
193,nasute,6.0
194,nasutness,9.0
195,nat,3.0
196,natal,5.0
197,natalitial,10.0
198,natalitious,11.0
199,nataloin,8.0
200,natals,6.0
201,natant,6.0
202,natantly,8.0
203,natation,8.0
204,natatores,9.0
205,natatorial,10.0
206,natatorious,11.0
207,natatorium,10.0
208,natatory,8.0
209,natch,5.0
210,natchez,7.0
211,natchnee,8.0
212,nates,5.0
213,nath,4.0
214,nathless,8.0
215,nathmore,8.0
216,naticas,7.0
217,naticae,7.0
218,natica,6.0
219,naticoid,8.0
220,nation,6.0
221,national,8.0
222,nationalism,11.0
223,nationalist,11.0
224,nationalities,13.0
225,nationality,11.0
226,nationalization,15.0
227,nationalized,12.0
228,nationalizing,13.0
229,nationalize,11.0
230,nationally,10.0
231,nationalness,12.0
232,native,6.0
233,natively,8.0
