,P,Length
0,pa,2
1,paage,5
2,paard,5
3,paas,4
4,pabular,7
5,pabulation,10
6,pabulous,8
7,pabulum,7
8,pac,3
9,paca,4
10,pacable,7
11,pacane,6
12,pacate,6
13,pacated,7
14,pacation,8
15,pace,4
16,paced,5
17,pacing,6
18,pacer,5
19,pacha,5
20,pachacamac,10
21,pachak,6
22,pachalic,8
23,pachisi,7
24,parchesi,8
25,pachometer,10
26,pachonta,8
27,pachycarpous,12
28,pachydactyl,11
29,pachydactylous,14
30,pachyderm,9
31,pachydermal,11
32,pachydermata,12
33,pachydermatous,14
34,pachydermoid,12
35,pachyglossal,12
36,pachymeningitis,15
37,pachymeter,10
38,pachyote,8
39,pacifiable,10
40,pacific,7
41,pacificable,11
42,pacifical,9
43,pacification,12
44,pacificator,11
45,pacificatory,12
46,pacfier,7
47,pacified,8
48,pacifying,9
49,pacify,6
50,pacinian,8
51,pack,4
52,packed,6
53,packing,7
54,package,7
55,packer,6
56,packet,6
57,packeted,8
58,packeting,9
59,packfong,8
60,packhouse,9
61,packmen,7
62,packman,7
63,packwax,7
64,packway,7
65,paco,4
66,pacos,5
67,pact,4
68,paction,7
69,pactional,9
70,pactitious,10
71,pactolian,9
72,pacu,4
73,pad,3
74,padded,6
75,padding,7
76,padar,5
77,padder,6
78,paddle,6
79,paddled,7
80,paddling,8
81,paddlecock,10
82,paddlefish,10
83,paddlewood,10
84,paddock,7
85,paddy,5
86,paddies,7
87,padelion,8
88,padella,7
89,pademelon,9
90,padesoy,7
91,padge,5
92,padishah,8
93,padlock,7
94,padlocked,9
95,padlocking,10
96,padnag,6
97,padow,5
98,padroni,7
99,padrones,8
100,padrone,7
101,paduasoy,8
102,paducahs,8
103,paean,5
104,paedobaptism,12
105,paedogenesis,12
106,paedogenetic,12
107,paeon,5
108,paeonine,8
109,paeony,6
110,pagan,5
111,pagandom,8
112,paganic,7
113,paganical,9
114,paganish,8
115,paganism,8
116,paganity,8
117,paganized,9
118,paganizing,10
119,paganize,8
120,paganly,7
121,page,4
122,paged,5
123,paging,6
124,pageant,7
125,pageantry,9
126,pagehood,8
127,paginae,7
128,pagina,6
129,paginal,7
130,pagination,10
131,pagod,5
132,pagoda,6
133,pagodite,8
134,paguma,6
135,pagurian,8
136,pah,3
137,pahi,4
138,pahlevi,7
139,pahoehoe,8
140,pahutes,7
141,paid,4
142,paideutics,10
143,paien,5
144,paigle,6
145,paijama,7
146,pail,4
147,pailfuls,8
148,pailful,7
149,paillasse,9
150,pailmall,8
151,pain,4
152,pained,6
153,paining,7
154,painable,8
155,painful,7
156,painim,6
157,painless,8
158,pains,5
159,painstaker,10
160,painstaking,11
161,painsworthy,11
162,painted,7
163,painting,8
164,paint,5
165,painter,7
166,painterly,9
167,paintership,11
168,paintless,9
169,painture,8
170,painty,6
171,pair,4
172,paired,6
173,pairing,7
174,pairer,6
175,pairment,8
176,pais,4
177,paisano,7
178,paise,5
179,pajock,6
180,pakfong,7
181,pal,3
182,palace,6
183,palacious,9
184,paladin,7
185,palaeographer,13
186,palaeographic,13
187,palaeotype,10
188,palaestra,9
189,palaestric,10
190,palaetiologist,14
191,palaetiology,12
192,palamme,7
193,palama,6
194,palamedeae,10
195,palampore,9
196,palanka,7
197,palanquin,9
198,palapteryx,10
199,palatability,12
200,palatable,9
201,palatableness,13
202,palatably,9
203,palatal,7
204,palatalize,10
205,palate,6
206,palatial,8
207,palatic,7
208,palatinate,10
209,palatine,8
210,palative,8
211,palatize,8
212,palatonares,11
213,palatopterygoid,15
214,palaver,7
215,palavered,9
216,palavering,10
217,palaverer,9
218,pale,4
219,paled,5
220,paling,6
221,paleae,6
222,palea,5
223,paleaceous,10
224,palearctic,10
225,paleechinoidea,14
226,paleface,8
227,paleichthyes,12
228,palely,6
229,palempore,9
230,paleness,8
231,palenque,8
232,paleobotanist,13
233,paleobotany,11
234,paleocarida,11
235,paleocrinoidea,14
236,paleocrystic,12
237,paleogaean,10
238,paleograph,10
239,paleographer,12
240,paleographic,12
241,paleographical,14
242,paleographist,13
243,paleography,11
244,paleolae,8
245,paleola,7
246,paleolith,9
247,paleolithic,11
248,paleologist,11
249,paleology,9
250,paleontographical,17
251,paleontography,14
252,paleontological,15
253,paleontologist,14
254,paleontology,12
255,paleophytologist,16
256,paleophytology,14
257,paleornithology,15
258,paleosaurus,11
259,paleotechnic,12
260,paleothere,10
261,paleotherian,12
262,paleotherium,12
263,paleotheroid,12
264,paleotype,9
265,paleous,7
266,paleozoic,9
267,paleozoology,12
268,paleozooogy,11
269,palesie,7
270,palesy,6
271,palestinian,11
272,palestinean,11
273,palestrae,9
274,palestras,9
275,palestra,8
276,palestrian,10
277,palestric,9
278,palestrical,11
279,palet,5
280,paletot,7
281,palette,7
282,palewise,8
283,palfrey,7
284,palfreyed,9
285,palgrave,8
286,pali,4
287,palification,12
288,paliform,8
289,palilogy,8
290,palimpsest,10
291,palindrome,10
292,palindromic,11
293,palindromical,13
294,palindromist,12
295,palingenesia,12
296,palingenesis,12
297,palingenesy,11
298,palingenetic,12
299,palinode,8
300,palinodial,10
301,palinody,8
302,palinurus,9
303,palisade,8
304,palisaded,9
305,palisading,10
306,palisadoes,10
307,palisado,8
308,palish,6
309,palissander,11
310,palissy,7
311,palkee,6
312,pall,4
313,palled,6
314,palling,7
315,palla,5
316,palladian,9
317,palladic,8
318,palladious,10
319,palladium,9
320,palladiumized,13
321,palladiumizing,14
322,paladiumize,11
323,pallah,6
324,pallas,6
325,pallbearer,10
326,pallet,6
327,pallial,7
328,palliament,10
329,palliard,8
330,palliasse,9
331,palliate,8
332,palliated,9
333,palliating,10
334,palliation,10
335,palliative,10
336,palliatory,10
337,pallid,6
338,pallidity,9
339,pallidly,8
340,pallidness,10
341,palliobranchiata,16
342,palliobranchiate,16
343,pallia,6
344,palliums,8
345,pallium,7
346,pallone,7
347,pallor,6
348,palm,4
349,palmed,6
350,palming,7
351,palmaceous,10
352,palmacite,9
353,palmar,6
354,palmaria,8
355,palmarium,9
356,palmary,7
357,palmate,7
358,palmated,8
359,palmately,9
360,palmatifid,10
361,palmatilobed,12
362,palmatisect,11
363,palmatisected,13
364,palmcrist,9
365,palmer,6
366,palmerworm,10
367,palmette,8
368,palmetto,8
369,palmic,6
370,palmidactyles,13
371,palmiferous,11
372,palmigrade,10
373,palmin,6
374,palmiped,8
375,palmipedes,10
376,palmister,9
377,palmistry,9
378,palmitate,9
379,palmite,7
380,palmitic,8
381,palmitin,8
382,palmitolic,10
383,palmitone,9
384,palmy,5
385,palmyra,7
386,palola,6
387,pallometa,9
388,palp,4
389,palpability,11
390,palpable,8
391,palpation,9
392,palpator,8
393,palpebrae,9
394,palpebra,8
395,palpebral,9
396,palprbrate,10
397,palped,6
398,palpi,5
399,palpicorn,9
400,palpifer,8
401,palpiform,9
402,palpiger,8
403,palpigerous,11
404,palpitant,9
405,palpitated,10
406,palpitating,11
407,palpitate,9
408,palpitation,11
409,palpless,8
410,palpocil,8
411,palpus,6
412,palsgrave,9
413,palsgravine,11
414,palsical,8
415,palsied,7
416,palstave,8
417,palster,7
418,palsies,7
419,palsy,5
420,palsying,8
421,palsywort,9
422,paltered,8
423,paltering,9
424,palter,6
425,palterer,8
426,palterly,8
427,paltock,7
428,paltrily,8
429,paltriness,10
430,paltry,6
431,paludal,7
432,paludament,10
433,paladumenta,11
434,paludamentum,12
435,paludicolae,11
436,paludicole,10
437,paludinae,9
438,paludinas,9
439,paludina,8
440,paludinal,9
441,paludine,8
442,paludinous,10
443,paludism,8
444,paludose,8
445,palule,6
446,paluli,6
447,palulus,7
448,palus,5
449,palustral,9
450,palustrine,10
451,paly,4
452,pam,3
453,pament,6
454,pampano,7
455,pampas,6
456,pampered,8
457,pampering,9
458,pamper,6
459,pamperer,8
460,pamperize,9
461,pampero,7
462,pamperos,8
463,pamphlet,8
464,pamphleteer,11
465,pampiniform,11
466,pampre,6
467,pamprodactylous,15
468,pan,3
469,panned,6
470,panning,7
471,panabase,8
472,panacea,7
473,panacean,8
474,panache,7
475,panada,6
476,panade,6
477,panary,6
478,pancake,7
479,pancarte,8
480,pance,5
481,panch,5
482,panchway,8
483,pancratian,10
484,pancratiast,11
485,pancratiastic,13
486,pancratic,9
487,pancratical,11
488,pancratist,10
489,pancratium,10
490,pancreas,8
491,pancreatic,10
492,pancreatin,10
493,pancy,5
494,panda,5
495,pandanus,8
496,pandar,6
497,pandarism,9
498,pandarize,9
499,pandarous,9
500,pandean,7
501,pandect,7
502,pandemic,8
503,pandemonium,11
504,pander,6
505,pandered,8
506,pandering,9
507,panderage,9
508,panderism,9
509,panderly,8
510,pandermite,10
511,panderous,9
512,pandiculated,12
513,pandiculation,13
514,pandit,6
515,pandoor,7
516,pandora,7
517,pandore,7
518,pandour,7
519,pandowdy,8
520,pandurate,9
521,panduriform,11
522,pane,4
523,paned,5
524,panegyric,9
525,panegyrical,11
526,panegyris,9
527,panegyrist,10
528,panegyrized,11
529,panegyrizing,12
530,panegyrize,10
531,panegyry,8
532,panel,5
533,paneled,7
534,panelled,8
535,paneling,8
536,panelling,9
537,panelation,10
538,paneless,8
539,panelwork,9
540,paneulogism,11
541,panfuls,7
542,panful,6
543,pang,4
544,pangenesis,10
545,pangenetic,10
546,pangful,7
547,pangless,8
548,pangolin,8
549,pangothic,9
550,panhellenic,11
551,panhellenism,12
552,panhellenist,12
553,panhellenium,12
554,panic,5
555,panical,7
556,panicle,7
557,panicled,8
558,paniculate,10
559,paniculated,11
560,panicum,7
561,panidiomorphic,14
562,panier,6
563,panification,12
564,panim,5
565,panislamism,11
566,panivorous,10
567,pannade,7
568,pannage,7
569,pannary,7
570,pannel,6
571,pannier,7
572,panniered,9
573,pannikel,8
574,pannikin,8
575,pannose,7
576,pannus,6
577,panoistic,9
578,panomphean,10
579,panoplied,9
580,panoply,7
581,panopticon,10
582,panorama,8
583,panoramic,9
584,panoramical,11
585,panorpian,9
586,panorpid,8
587,panpharmacon,12
588,panpresbyterian,15
589,pansclavic,10
590,pansclavism,11
591,pansclavist,11
592,pansclavonian,13
593,panshon,7
594,pansied,7
595,panslavic,9
596,panslavism,10
597,panslavist,10
598,panslavonian,12
599,pansophical,11
600,pansophy,8
601,panspermatist,13
602,panspermist,11
603,panspermic,10
604,panspermy,9
605,panstereorama,13
606,pansies,7
607,pansy,5
608,panted,6
609,panting,7
610,pant,4
611,pantable,8
612,pantacosm,9
613,pantagraph,10
614,pantagruelism,13
615,pantalet,8
616,pantaloon,9
617,pantaloonery,12
618,pantamorph,10
619,pantamorphic,12
620,pantascope,10
621,pantascopic,11
622,pantastomata,12
623,pantechnicon,12
624,pantelegraph,12
625,panter,6
626,panteutonic,11
627,pantheism,9
628,pantheist,9
629,pantheistic,11
630,pantheistical,13
631,pantheologist,13
632,pantheology,11
633,pantheon,8
634,panther,7
635,pantheress,10
636,pantherine,10
637,pantile,7
638,pantingly,9
639,pantisocracy,12
640,pantisocrat,11
641,pantisocratic,13
642,pantisocratist,14
643,pantler,7
644,pantochronometer,16
645,pantofle,8
646,pantograph,10
647,pantographic,12
648,pantographical,14
649,pantography,11
650,pantological,12
651,pantologist,11
652,pantology,9
653,pantometer,10
654,pantometry,10
655,pantomime,9
656,pantomimic,10
657,pantomimical,12
658,pantomimist,11
659,panton,6
660,pantophagist,12
661,pantophagous,12
662,pantophagy,10
663,pantopoda,9
664,pantoscopic,11
665,pantries,8
666,pantry,6
667,panurgic,8
668,panurgy,7
669,panyard,7
670,panym,5
671,panzoism,8
672,paolo,5
673,pap,3
674,papa,4
675,papabote,8
676,papacy,6
677,papagay,7
678,papain,6
679,papal,5
680,papalist,8
681,papality,8
682,papalize,8
683,papally,7
684,papalty,7
685,papaphobia,10
686,paparchy,8
687,papaver,7
688,papaveraceous,13
689,papaverine,10
690,papaverous,10
691,papaw,5
692,papboat,7
693,pape,4
694,papejay,7
695,paper,5
696,papered,7
697,papering,8
698,paperweight,11
699,papery,6
700,papescent,9
701,papess,6
702,papeterie,9
703,paphian,7
704,papilio,7
705,papilionaceous,14
706,papiliones,10
707,papilionides,12
708,papillae,8
709,papilla,7
710,papillar,8
711,papillary,9
712,papillate,9
713,papilliform,11
714,papillomata,11
715,papilloma,9
716,papillomatous,13
717,papillose,9
718,papillote,9
719,papillous,9
720,papillulate,11
721,papion,6
722,papism,6
723,papist,6
724,papistic,8
725,papistical,10
726,papistry,8
727,papized,7
728,papoose,7
729,pappiform,9
730,pappoose,8
731,pappose,7
732,pappous,7
733,pappus,6
734,pappy,5
735,papuan,6
736,papuars,7
737,papulae,7
738,papula,6
739,papular,7
740,papules,7
741,papule,6
742,papulose,8
743,papulous,8
744,papyraceous,11
745,papyrean,8
746,papyrine,8
747,papyrograph,11
748,papyrography,12
749,papyri,6
750,papyrus,7
751,paque,5
752,par,3
753,para,4
754,parabanic,9
755,parablast,9
756,parablastic,11
757,parable,7
758,parabolas,9
759,parabola,8
760,parabole,8
761,parabolic,9
762,parabolical,11
763,parabolically,13
764,paraboliform,12
765,parabolism,10
766,parabolist,10
767,paraboloid,10
768,paraboloidal,12
769,parabronchia,12
770,parabronchium,13
771,paracelsian,11
772,paracelsist,11
773,paracentesis,12
774,paracentric,11
775,paracentrical,13
776,parachordal,11
777,parachronism,12
778,parachrose,10
779,parachute,9
780,paraclete,9
781,paraclose,9
782,paracmastic,11
783,paraconic,9
784,paraconine,10
785,paracorolla,11
786,paracrostic,11
787,paracyanogen,12
788,paracymene,10
789,paradactyla,11
790,paradactylum,12
791,parade,6
792,paraded,7
793,parading,8
794,paradigm,8
795,paradigmatic,12
796,paradigmatical,14
797,paradigmatized,14
798,paradigmatizing,15
799,paradigmatize,13
800,paradisaic,10
801,paradisaical,12
802,paradisal,9
803,paradise,8
804,paradisean,10
805,paradised,9
806,paradisiac,10
807,paradisiacal,12
808,paradisial,10
809,paradisian,10
810,paradisic,9
811,paradisical,11
812,paradoses,9
813,parados,7
814,paradoxes,9
815,paradox,7
816,paradoxal,9
817,paradoxical,11
818,paradoxer,9
819,paradoxist,10
820,paradoxides,11
821,paradoxology,12
822,paradoxure,10
823,paradoxy,8
824,paraffin,8
825,paraffine,9
826,parage,6
827,paragenesis,11
828,paragenic,9
829,paraglobulin,12
830,paraglossae,11
831,paraglossa,10
832,paragnath,9
833,paragnathous,12
834,paragnathi,10
835,paragnathus,11
836,paragoge,8
837,paragogic,9
838,paragogical,11
839,paragon,7
840,paragonite,10
841,paragram,8
842,paragrammatist,14
843,paragrandine,12
844,paragraph,9
845,paragraphed,11
846,paragraphing,12
847,paragrapher,11
848,paragraphic,11
849,paragraphical,13
850,paragraphist,12
851,paragraphistical,16
852,paragrele,9
853,paraguayan,10
854,parail,6
855,parakeet,8
856,paralactic,10
857,paralbumin,10
858,paraldehyde,11
859,paraleipsis,11
860,paralepsis,10
861,paralian,8
862,paralipomenon,13
863,paralipsis,10
864,parallactic,11
865,parallactical,13
866,parallax,8
867,parallel,8
868,paralleled,10
869,paralleling,11
870,parallelable,12
871,parallelism,11
872,parallelistic,13
873,parallelize,11
874,parallelless,12
875,parallelly,10
876,parallelogram,13
877,parallelogrammatic,18
878,parallelogrammic,16
879,parallelogrammical,18
880,parallelopiped,14
881,parallelopipedon,16
882,paralogical,11
883,paralogism,10
884,paralogized,11
885,paralogizing,12
886,paralogize,10
887,paralogy,8
888,paralyse,8
889,paralysis,9
890,paralytic,9
891,paralytical,11
892,paralyzation,12
893,paralyzed,9
894,paralyzing,10
895,paralyze,8
896,param,5
897,paramagnetic,12
898,paramagnetism,13
899,paramaleic,10
900,paramalic,9
901,paramastoid,11
902,paramatta,9
903,parament,8
904,paramento,9
905,paramere,8
906,parameter,9
907,parametritis,12
908,paramiographer,14
909,paramitome,10
910,paramos,7
911,paramo,6
912,paramorph,9
913,paramorphism,12
914,paramorphous,12
915,paramount,9
916,paramountly,11
917,paramour,8
918,paramours,9
919,paramylum,9
920,paranaphthalene,15
921,paranoia,8
922,paranthracene,13
923,paranucleus,11
924,paranymph,9
925,paranymphal,11
926,parapectin,10
927,parapegm,8
928,parapeptone,11
929,parapet,7
930,parapetalous,12
931,parapeted,9
932,paraph,6
933,paraphed,8
934,paraphing,9
935,parapherna,10
936,paraphernal,11
937,paraphernalia,13
938,paraphimosis,12
939,paraphosphoric,14
940,paraphragmata,13
941,paraphagma,10
942,paraphrase,10
943,paraphrased,11
944,paraphrasing,12
945,paraphraser,11
946,paraphrasian,12
947,paraphrast,10
948,paraphrastic,12
949,paraphrastical,14
950,paraphyses,10
951,paraphysis,10
952,paraplegia,10
953,paraplegy,9
954,parapleurae,11
955,parapleura,10
956,parapodia,9
957,parapodium,10
958,parapophyses,12
959,parapophysis,12
960,paraptera,9
961,parapterum,10
962,paraquet,8
963,paraquito,9
964,parasang,8
965,parascenia,10
966,parascenium,11
967,parasceve,9
968,paraschematic,13
