,S,Length
0,saadh,5
1,saan,4
2,sabadilla,9
3,sabaean,7
4,sabaeanism,10
5,sabaeism,8
6,sabaism,7
7,sabal,5
8,sabaoth,7
9,sabbat,6
10,sabbatarian,11
11,sabbatarianism,14
12,sabbath,7
13,sabbathless,11
14,sabbatic,8
15,sabbatical,10
16,sabbatism,9
17,sabbaton,8
18,sabean,6
19,sabeism,7
20,sabella,7
21,sabellian,9
22,sabellianism,12
23,sabelloid,9
24,saber,5
25,sabre,5
26,sabered,7
27,sabred,6
28,sabering,8
29,sabring,7
30,saberbill,9
31,sabrebill,9
32,sabian,6
33,sabianism,9
34,sabicu,6
35,sabine,6
36,sable,5
37,sabled,6
38,sabling,7
39,sabot,5
40,sabotiere,9
41,sabretasche,11
42,sabulose,8
43,sabulosity,10
44,sabulous,8
45,sac,3
46,sacalait,8
47,sacar,5
48,saccade,7
49,saccate,7
50,saccharate,10
51,saccharic,9
52,sacchariferous,14
53,saccharified,12
54,saccharifying,13
55,saccharify,10
56,saccharilla,11
57,saccharimeter,13
58,saccharimetrical,16
59,saccharimetry,13
60,saccharin,9
61,saccharinate,12
62,saccharine,10
63,saccharinic,11
64,saccharized,11
65,saccharizing,12
66,saccharize,10
67,saccharoid,10
68,saccharoidal,12
69,saccharometer,13
70,saccharomyces,13
71,saccharomycetes,15
72,saccharonate,12
73,saccharone,10
74,saccharonic,11
75,saccharose,10
76,saccharous,10
77,saccharum,9
78,saccholactate,13
79,saccholactic,12
80,saccholic,9
81,sacchulmate,11
82,sacchulmic,10
83,sacchulmin,10
84,sacciferous,11
85,sacciform,9
86,saccoglossa,11
87,saccular,8
88,sacculated,10
89,saccule,7
90,sacculi,7
91,sacculus,8
92,sacci,5
93,saccus,6
94,sacella,7
95,sacellum,8
96,sacerdotal,10
97,sacerdotalism,13
98,sacerdotally,12
99,sachel,6
100,sachem,6
101,sachemdom,9
102,sachemship,10
103,sachet,6
104,saciety,7
105,sack,4
106,sacked,6
107,sacking,7
108,sackage,7
109,sackbut,7
110,sackcloth,9
111,sackclothed,11
112,sacker,6
113,sackfuls,8
114,sackful,7
115,sackless,8
116,sacque,6
117,sacral,6
118,sacrament,9
119,sacramental,11
120,sacramentalism,14
121,sacramentalist,14
122,sacramentally,13
123,sacramentarian,14
124,sacramentary,12
125,sacramentize,12
126,sacrarium,9
127,sacrate,7
128,sacration,9
129,sacre,5
130,sacred,6
131,sacrific,8
132,sacrifical,10
133,sacrificable,12
134,sacrificant,11
135,sacrificator,12
136,sacrificatory,13
137,sacrifice,9
138,sacrificed,10
139,sacrificing,11
140,sacrificer,10
141,sacrificial,11
142,sacrilege,9
143,sacrilegious,12
144,sacrilegist,11
145,sacring,7
146,sacrist,7
147,sacristan,9
148,sacristies,10
149,sacristy,8
150,sacrosanct,10
151,sacrosciatic,12
152,sacrovertebral,14
153,sacra,5
154,sacrum,6
155,sacs,4
156,sad,3
157,sadda,5
158,saddened,8
159,saddening,9
160,sadden,6
161,sadder,6
162,saddle,6
163,saddled,7
164,saddling,8
165,saddleback,10
166,saddlebags,10
