,T,Length
0,ta,2
1,taas,4
2,tab,3
3,tabacco,7
4,tabanus,7
5,tabard,6
6,tabarder,8
7,tabaret,7
8,tabasheer,9
9,tabbinet,8
10,tabbies,7
11,tabby,5
12,tabbied,7
13,tabbying,8
14,tabefaction,11
15,tabefied,8
16,tabefying,9
17,tabefy,6
18,tabellion,9
19,taber,5
20,taberd,6
21,tabernacle,10
22,tabernacled,11
23,tabernacling,12
24,tabernacular,12
25,tabes,5
26,tabescent,9
27,tabetic,7
28,tabid,5
29,tabific,7
30,tabifical,9
31,tabinet,7
32,tablature,9
33,table,5
34,tableed,7
35,tableing,8
36,tableaux,8
37,tableau,7
38,tablebook,9
39,tablecloth,10
40,tablemen,8
41,tableman,8
42,tablement,9
43,tabler,6
44,tablespoon,10
45,tablespoonfuls,14
46,tablespoonful,13
47,tablet,6
48,tableware,9
49,tabling,7
50,taboo,5
51,tabooed,7
52,tabooing,8
53,tabor,5
54,tabored,7
55,taboring,8
56,taborer,7
57,taboret,7
58,taborine,8
59,taborite,8
60,tabour,6
61,tabouret,8
62,tabrere,7
63,tabret,6
64,tabu,4
65,tabulae,7
66,tabula,6
67,tabular,7
68,tabularization,14
69,tabularized,11
70,tabularizing,12
71,tabularize,10
72,tabulata,8
73,tabulated,9
74,tabulating,10
75,tabulate,8
76,tabulation,10
77,tac,3
78,tacamahac,9
79,tacamahaca,10
80,tacaud,6
81,tace,4
82,tacet,5
83,tache,5
84,tachhydrite,11
85,tachinae,8
86,tachina,7
87,tachometer,10
88,tachydidaxy,11
89,tachyglossa,11
90,tachygraphic,12
91,tachygraphical,14
92,tachygraphy,11
93,tachylyte,9
94,tacit,5
95,taciturn,8
96,taciturnity,11
97,tack,4
98,tacked,6
99,tacking,7
100,tacker,6
101,tacket,6
102,tackey,6
103,tackle,6
104,tackled,7
105,tackling,8
106,tacksmen,8
107,tacksman,8
108,tacky,5
109,taconic,7
110,tact,4
111,tactable,8
112,tactic,6
113,tactical,8
114,tactician,9
115,tactics,7
116,tactile,7
117,tactility,9
118,taction,7
119,tactless,8
120,tactual,7
121,tadpole,7
122,taedium,7
123,tael,4
124,taen,4
125,taeniae,7
126,taenia,6
127,taeniada,8
128,taeniata,8
129,taenidia,8
130,taenidium,9
131,taenioglossa,12
132,taenioglossate,14
133,taenioid,8
134,taenioidea,10
135,taeniolae,9
136,taeniola,8
137,taeniosomi,10
138,tafferer,8
139,taffeta,7
140,taffety,7
141,taffrail,8
142,taffy,5
143,tafia,5
144,tag,3
145,tagged,6
146,tagging,7
147,tagbelt,7
148,tagger,6
149,taglet,6
150,taglia,6
151,tagliacotain,12
152,taglioni,8
153,taglock,7
154,tagnicate,9
155,tagsore,7
156,tagtail,7
157,taguan,6
158,taguicati,9
159,taha,4
160,tahaleb,7
161,tahitian,8
162,tahr,4
163,tail,4
164,tailage,7
165,tailblock,9
166,tailboard,9
167,tailed,6
168,tailing,7
169,taille,6
170,tailless,8
171,taillie,7
172,tailor,6
173,tailored,8
174,tailoring,9
175,tailoress,9
176,tailpiece,9
177,tailpin,7
178,tailrace,8
179,tailstock,9
180,tailzie,7
181,tain,4
182,taint,5
183,tainted,7
184,tainting,8
185,taintless,9
186,taintlessly,11
187,tainture,8
188,taintworm,9
189,taira,5
190,tairn,5
191,tait,4
192,tajacu,6
193,tajassu,7
194,take,4
195,took,4
196,takend,6
197,taking,6
198,taken,5
199,taker,5
200,talapoin,8
201,talaria,7
202,talbot,6
203,talbotype,9
204,talc,4
205,talcose,7
206,talcous,7
207,tale,4
208,talebearer,10
209,talebearing,11
210,taled,5
211,taleful,7
212,talegalla,9
213,talent,6
214,talented,8
215,tales,5
216,talesmen,8
217,talesman,8
218,taleteller,10
219,talewise,8
220,taliacotian,11
221,taliation,9
222,talion,6
223,talipes,7
224,talipot,7
225,talismans,9
226,talisman,8
227,talismanic,10
228,talismanical,12
229,talked,6
230,talking,7
231,talk,4
232,talkative,9
233,talker,6
234,tall,4
235,tallage,7
236,talliage,8
237,tallier,7
238,tallness,8
239,tallow,6
240,tallowed,8
241,tallowing,9
242,tallower,8
243,tallowish,9
244,tallowy,7
245,tallwood,8
246,tallies,7
247,tally,5
248,tallied,7
249,tallying,8
250,tallyho,7
251,tallymen,8
252,tallyman,8
253,talmas,6
254,talma,5
255,talmud,6
256,talmudic,8
257,talmudical,10
258,talmudist,9
259,talmudistic,11
260,talon,5
261,talook,6
262,taluk,5
263,talookdar,9
264,talukdar,8
265,talpa,5
266,tali,4
267,talus,5
268,tamability,10
269,tamable,7
270,tamandu,7
271,tamanoir,8
272,tamarack,8
273,tamaric,7
274,tamarin,7
275,tamarind,8
276,tamarisk,8
277,tambac,6
278,tambour,7
279,tamboured,9
280,tambouring,10
281,tambourin,9
282,tambourine,10
283,tambreet,8
284,tamburin,8
285,tame,4
286,tamed,5
287,taming,6
288,tameable,8
289,tameless,8
290,tamely,6
291,tameness,8
292,tamer,5
293,tamias,6
294,tamil,5
295,tamilian,8
296,tamine,6
297,taminy,6
298,tamis,5
299,tamkin,6
300,tammies,7
301,tammy,5
302,tamped,6
303,tamping,7
304,tamp,4
305,tampan,6
306,tampeon,7
307,tamper,6
308,tampered,8
309,tampering,9
310,tamperer,8
311,fibre,5
312,tampion,7
313,tampoe,6
314,tampon,6
315,tampoon,7
316,tamul,5
317,tan,3
318,tanned,6
319,tanning,7
320,tana,4
321,tanager,7
322,tanagrine,9
323,tanagroid,9
324,tanate,6
325,tandem,6
326,tang,4
327,tanged,6
328,tanging,7
329,tangalung,9
330,tangence,8
331,tangency,8
332,tangent,7
333,tangental,9
334,tangential,10
335,tangentially,12
336,tangerine,9
337,tangfish,8
338,tanghinia,9
339,tangibility,11
340,tangible,8
341,tangled,7
342,tangling,8
343,tangle,6
344,tanglefish,10
345,tanglingly,10
346,tangly,6
347,tangram,7
348,tangue,6
349,tangun,6
350,tangwhaup,9
351,tanier,6
352,tanist,6
353,tanistry,8
354,tanite,6
355,tank,4
356,tanka,5
357,tankard,7
358,tankia,6
359,tankling,8
360,tanling,7
361,tannable,8
362,tannage,7
363,tannate,7
364,tanner,6
365,tanneries,9
366,tannery,7
367,tannic,6
368,tannier,7
369,tannin,6
370,tanrec,6
371,tansy,5
372,tant,4
373,tantalate,9
374,tantalic,8
375,tantalism,9
376,tantalite,9
377,tantalization,13
378,tantalized,10
379,tantalizing,11
380,tantalize,9
381,tantalizer,10
382,tantalizingly,13
383,tantalum,8
384,tantalus,8
385,tantamount,10
386,tantivy,7
387,tantrum,7
388,tanyard,7
389,tanystomata,11
390,taoism,6
391,tapped,6
392,tapping,7
393,tap,3
394,tapa,4
395,tapayaxin,9
396,tape,4
397,tapeline,8
398,taper,5
399,tapered,7
400,tapering,8
401,taperness,9
402,tapestries,10
403,tapestry,8
404,tapestried,10
405,tapestrying,11
406,tapet,5
407,tapetis,7
408,tapeti,6
409,tapetum,7
410,tapeworm,8
411,taphouse,8
412,taphrenchyma,12
413,tapinage,8
414,tapioca,7
415,tapir,5
416,tapiroid,8
417,tapis,5
418,tapiser,7
419,tapish,6
420,taplash,7
421,taplings,8
422,tappen,6
423,tapper,6
424,tappester,9
425,tappet,6
426,tappice,7
427,tappis,6
428,taproom,7
429,taproot,7
430,tapster,7
431,tar,3
432,tarred,6
433,tarring,7
434,taranis,7
435,tarantass,9
436,tarantella,10
437,tarantism,9
438,tarantulas,10
439,tarantulae,10
440,tarantula,9
441,tarantulated,12
442,tarbogan,8
443,tarboosh,8
444,tardation,9
445,tardigrada,10
446,tardigrade,10
447,tardigradous,12
448,tardily,7
449,tardiness,9
450,tarditation,11
451,tardity,7
452,tardo,5
453,tardy,5
454,tare,4
455,tared,5
456,taring,6
457,tarente,7
458,tarentism,9
459,tarentula,9
460,targe,5
461,target,6
462,targeted,8
463,targeteer,9
464,targums,7
465,targumim,8
466,targum,6
467,targumist,9
468,tariff,6
469,tariffed,8
470,tariffing,9
471,tarin,5
472,tarlatan,8
473,tarn,4
474,tarnished,9
475,tarnishing,10
476,tarnish,7
477,tarnisher,9
478,taro,4
479,tarot,5
480,tarpan,6
481,tarpaulin,9
482,tarpon,6
483,tarpum,6
484,tarquinish,10
485,tarrace,7
486,tarragon,8
487,tarras,6
488,tarre,5
489,tarriance,9
490,tarrier,7
491,tarrock,7
492,tarry,5
493,tarried,7
494,tarrying,8
495,tarsal,6
496,tarsalia,8
497,tarsale,7
498,tarse,5
499,tarsectomy,10
500,tarsel,6
501,tarsi,5
502,tarsia,6
503,tarsiatura,10
504,tarsier,7
505,tarsius,7
506,tarsometatarsal,15
507,tarsometatarsi,14
508,tarsometatarsus,15
509,tarsorrhaphy,12
510,tarsotomy,9
511,tarsus,6
512,tart,4
513,tartan,6
514,tartar,6
515,tartarated,10
516,tartarean,9
517,tartareous,10
518,tartarian,9
519,tartaric,8
520,tartarine,9
521,tartarized,10
522,tartarizing,11
523,tartarize,9
524,tartarous,9
525,tartarum,8
526,tartarus,8
527,tartary,7
528,tartish,7
529,tartlet,7
530,tartly,6
531,tartness,8
532,tartralic,9
533,tartramate,10
534,tartramic,9
535,tartramide,10
536,tartrate,8
537,tartrated,9
538,tartrazine,10
539,tartrelic,9
540,tartronate,10
541,tartronic,9
542,tartronyl,9
543,tartrovinic,11
544,tartuffe,8
545,tartufe,7
546,tartuffish,10
547,tartufish,9
548,tarweed,7
549,tas,3
550,tasco,5
551,tasimer,7
552,task,4
553,tasked,6
554,tasking,7
555,tasker,6
556,taskmaster,10
557,taskwork,8
558,taslet,6
559,tasmanian,9
560,tasse,5
561,tassel,6
562,tasseled,8
563,tasselled,9
564,tasseling,9
565,tasselling,10
566,tasset,6
567,tastable,8
568,tasted,6
569,tasting,7
570,taste,5
571,tasteful,8
572,tasteless,9
573,taster,6
574,tastily,7
575,tasto,5
576,tasty,5
577,tat,3
578,tataupa,7
579,tatch,5
580,tath,4
581,tatou,5
582,tatouay,7
583,tatouhou,8
584,tatt,4
585,tatta,5
586,tatter,6
587,tattered,8
588,tatterdemalion,14
589,tatting,7
590,tattled,7
591,tattling,8
592,tattle,6
593,tattler,7
594,tattlery,8
595,tattoo,6
596,tattooed,8
597,tattooing,9
598,tattoos,7
599,tatu,4
600,tatusiid,8
601,tau,3
602,taught,6
603,taunt,5
604,taunted,7
605,taunting,8
606,taunter,7
607,tauntingly,10
608,tauntress,9
609,taur,4
610,tauricornous,12
611,tauridor,8
612,tauriform,9
613,taurine,7
614,taurocholate,12
615,taurocholic,11
616,taurocol,8
617,taurocolla,10
618,tauromachian,12
619,tauromachy,10
620,taurus,6
621,taurylic,8
622,taut,4
623,tautegorical,12
624,tautochrone,11
625,tautochronous,13
626,tautog,6
627,tautologic,10
628,tautological,12
629,tautologist,11
630,tautologized,12
631,tautologizing,13
632,tautologize,11
633,tautologous,11
634,tautology,9
635,tautomeric,10
636,tautomerism,11
637,tautoousian,11
638,tautoousious,12
639,tautophonical,13
640,tautophony,10
641,tautozonal,10
642,tavern,6
643,taverner,8
644,taverning,9
645,tavernmen,9
646,tavernman,9
647,taw,3
648,tawed,5
649,tawing,6
650,tawdrily,8
651,tawdriness,10
652,tawdry,6
653,tawdries,8
