,V,Length
0,vaagmer,7
1,vacancies,9
2,vacancy,7
3,vacant,6
4,vacantly,8
5,vacated,7
6,vacating,8
7,vacate,6
8,vacation,8
9,vaccary,7
10,vaccina,7
11,vaccinal,8
12,vaccinated,10
13,vaccinating,11
14,vaccinate,9
15,vaccination,11
16,vaccinator,10
17,vaccine,7
18,vaccinia,8
19,vaccinist,9
20,vaccinium,9
21,vacher,6
22,vachery,7
23,vacillancy,10
24,vacillant,9
25,vacillated,10
26,vacillating,11
27,vacillate,9
28,vacillation,11
29,vacillatory,11
30,vacuate,7
31,vacuation,9
32,vacuist,7
33,vacuity,7
34,vacuna,6
35,vacuolated,10
36,vacuolation,11
37,vacuole,7
38,vacuous,7
39,vacuousness,11
40,vacuums,7
41,vacua,5
42,vacuum,6
43,vadantes,8
44,vade,4
45,vadimony,8
46,vadium,6
47,vae,3
48,vafrous,7
49,vagabond,8
50,vagabondage,11
51,vagabondism,11
52,vagabondize,11
53,vagabondry,10
54,vagal,5
55,vagancy,7
56,vagantes,8
57,vagarious,9
58,vagaries,8
59,vagary,6
60,vagient,7
61,vaginae,7
62,vagina,6
63,vaginal,7
64,vaginant,8
65,vaginate,8
66,vaginated,9
67,vaginati,8
68,vaginervose,11
69,vaginicola,10
70,vaginismus,10
71,vaginitis,9
72,vaginopennous,13
73,vaginula,8
74,vaginule,8
75,vagissate,9
76,vagous,6
77,vagrancy,8
78,vagrant,7
79,vagrantly,9
80,vagrantness,11
81,vague,5
82,vaguely,7
83,vagueness,9
84,vagus,5
85,vail,4
86,vailer,6
87,vaimure,7
88,vain,4
89,vainglorious,12
90,vainglory,9
91,vainly,6
92,vainness,8
93,vair,4
94,vairy,5
95,vaishnava,9
96,vaishnavism,11
97,vaisya,6
98,vaivode,7
99,vakeel,6
100,valance,7
101,valanced,8
102,valancing,9
103,vale,4
104,valediction,11
105,valedictorian,13
106,valedictory,11
107,valedictories,13
108,valence,7
109,valencia,8
110,valencies,9
111,valency,7
112,valentia,8
113,valentine,9
114,valentinian,11
115,valeramide,10
116,valerate,8
117,valerian,8
118,valerianaceous,14
119,valerianate,11
120,valerianic,10
121,valeric,7
122,valeridine,10
123,valerin,7
124,valeritrine,11
125,valerone,8
126,valeryl,7
127,valerylene,10
128,valet,5
129,valetudinarian,14
130,valetudinarianism,17
131,valetudinary,12
132,valetudinous,12
133,valhalla,8
134,valiance,8
135,valiancy,8
136,valiant,7
137,valid,5
138,validate,8
139,validation,10
140,validity,8
141,validly,7
142,validness,9
143,valinch,7
144,valise,6
145,valkyria,8
146,valkyrian,9
147,vallancy,8
148,vallar,6
149,vallary,7
150,vallation,9
151,vallatory,9
152,valleculae,10
153,vallecula,9
154,valleys,7
155,valley,6
156,valla,5
157,vallums,7
158,vallum,6
159,valonia,7
160,valor,5
161,valorous,8
162,valsalvian,10
163,valuable,8
164,valuableness,12
165,valuably,8
166,valuation,9
167,valuator,8
168,value,5
169,valued,6
170,valuing,7
171,valueless,9
172,valuer,6
173,valure,6
174,valvasor,8
175,valvata,7
176,valvate,7
