,X,Length
0,xanthamide,10
1,xanthate,8
2,xanthelasma,11
3,xanthian,8
4,xanthic,7
5,xanthide,8
6,xanthidia,9
7,xanthidium,10
8,xanthin,7
9,xanthinine,10
10,xanthium,8
11,xanthocarpous,13
12,xanthochroi,11
13,xanthochroic,12
14,xanthodontous,13
15,xanthogen,9
16,xanthogenate,12
17,xanthogenic,11
18,xanthoma,8
19,xanthophane,11
20,xanthophyll,11
21,xanthopous,10
22,xanthoproteic,13
23,xanthoprotein,13
24,xanthopuccine,13
25,xanthorhamnin,13
26,xanthorhiza,11
27,xanthorhoea,11
28,xanthose,8
29,xanthosis,9
30,xanthospermous,14
31,xanthous,8
32,xanthoxylene,12
33,xanthoxylum,11
34,xebec,5
35,xeme,4
36,xenelasia,9
37,xenia,5
38,xenium,6
39,xenodochium,11
40,xenodochy,9
41,xenogamy,8
42,xenogenesis,11
43,xenogenetic,11
44,xenomania,9
45,xenomi,6
46,xenopterygii,12
47,xenotime,8
48,xenurine,8
49,xenyl,5
50,xenylic,7
51,xeraphim,8
52,xeres,5
53,xerif,5
54,xeriff,6
55,xeroderma,9
56,xeronate,8
57,xeronic,7
58,xerophagy,9
59,xerophilous,11
60,xerophthalmia,13
61,xerophthalmy,12
62,xiphias,7
63,xiphidium,9
64,xiphioid,8
65,xiphiplastra,12
66,xiphiplastron,13
67,xiphisterna,11
68,xiphisternum,12
69,xiphius,7
70,xiphodon,8
71,xiphoid,7
72,xiphoidian,10
73,xiphophyllous,13
74,xiphosura,9
75,xiphura,7
76,xylamide,8
77,xylanthrax,10
78,xylate,6
79,xylem,5
80,xylene,6
81,xylenol,7
82,xyletic,7
83,xylic,5
84,xylidic,7
85,xylidine,8
86,xylindein,9
87,xylite,6
88,xylitone,8
89,xylobalsamum,12
90,xylocarpous,11
91,xylocopa,8
92,xylogen,7
93,xylograph,9
94,xylographer,11
95,xylographic,11
96,xylographical,13
97,xylography,10
98,xyloid,6
99,xyloidin,8
100,xylol,5
101,xylonite,8
102,xylophaga,9
103,xylophagan,10
104,xylophagides,12
105,xylophagous,11
106,xylophilan,10
107,xylophilous,11
108,xylophone,9
109,xyloplastic,11
110,xylopyrography,14
111,xyloquinone,11
112,xylorcin,8
113,xylostein,9
114,xylotile,8
115,xylotrya,8
116,xylyl,5
117,xylylene,8
118,xyridaceous,11
119,xyris,5
120,xyst,4
121,xystus,6
122,xystarch,8
123,xyster,6
